blank,,bm3WTheme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
754.9588013,-0.002806940349,754.9588013,0.007823647,
753.9711914,0.0007956346963,753.9711914,0.01003215741,
752.9832153,0.0003464665206,752.9832153,0.008009632118,
751.9949341,0.0002485764271,751.9949341,0.008938111365,
751.0062256,0.0002535234962,751.0062256,0.00882798899,
750.0172119,-0.0004885556991,750.0172119,0.008277770132,
749.027832,0.0001824567444,749.027832,0.009862277657,
748.0380859,-0.00051492895,748.0380859,0.008430085145,
747.0479736,0.0007796080899,747.0479736,0.008413669653,
746.0575562,-0.0007107644924,746.0575562,0.006626524962,
745.0667725,-0.0004991051974,745.0667725,0.008104962297,
743.934021,7.178772648E-5,743.934021,0.009432816878,
742.9424438,0.0005068322644,742.9424438,0.009125684388,
741.9505615,-0.002400180791,741.9505615,0.008590639569,
740.958313,0.001148939831,740.958313,0.009424695745,
739.9656982,0.0001962858805,739.9656982,0.008978013881,
738.9727783,-0.0005699454923,738.9727783,0.008664548397,
737.9794312,0.0005983260344,737.9794312,0.008393374272,
736.9858398,-0.0005718585453,736.9858398,0.009468796663,
735.9918213,-0.0006478048163,735.9918213,0.008204085752,
734.9974976,-0.0009670577128,734.9974976,0.008333127014,
734.0028076,0.0007144706324,734.0028076,0.00886373315,
733.0077515,-0.001368297148,733.0077515,0.009208410047,
732.0123901,-0.0005426449352,732.0123901,0.008938006125,
731.0166626,0.0002146736078,731.0166626,0.009647547267,
730.0205688,0.0006478651776,730.0205688,0.009920591488,
729.0241699,0.001094179228,729.0241699,0.01000974607,
728.0274048,-0.0005089821643,728.0274048,0.008861382492,
727.0303345,-0.0001985000126,727.0303345,0.008726583794,
726.0328979,0.000568646763,726.0328979,0.01047743205,
725.0350952,0.0002949931077,725.0350952,0.009206638671,
724.0369873,0.0003868568456,724.0369873,0.009074825794,
723.0385132,-0.0006347775343,723.0385132,0.009023206308,
722.0396729,8.701145271E-5,722.0396729,0.009198600426,
721.0405273,-0.000440769596,721.0405273,0.009919426404,
720.0410767,-9.804497677E-5,720.0410767,0.01044855546,
719.0411987,0.0004182338307,719.0411987,0.009933833964,
718.0410767,0.0002262764174,718.0410767,0.009349467233,
717.0405273,0.001026711194,717.0405273,0.01009608433,
716.0396729,0.0008519657422,716.0396729,0.01011913549,
715.0385132,0.0008142293664,715.0385132,0.01007846557,
714.0369873,-0.0003573899157,714.0369873,0.009422262199,
713.0351563,-7.309581997E-5,713.0351563,0.00906702783,
712.032959,-0.0006021559238,712.032959,0.01000052784,
711.0303955,-0.0005538135301,711.0303955,0.008713748306,
710.0275269,0.000358668738,710.0275269,0.01053031255,
709.024353,0.0005986111937,709.024353,0.009755706415,
708.020813,-0.0001181274929,708.020813,0.01046679914,
707.0169678,1.110522226E-5,707.0169678,0.01060882304,
706.0127563,-0.0001742811437,706.0127563,0.009616369382,
705.0081787,-0.001039526192,705.0081787,0.008910393342,
704.0033569,-9.773441707E-5,704.0033569,0.009375177324,
702.9981689,0.0003411816142,702.9981689,0.01030311082,
701.9926147,-0.0009720684029,701.9926147,0.008911978453,
700.9867554,0.0005986370961,700.9867554,0.01002028957,
699.9805298,-2.029412462E-5,699.9805298,0.010096482,
698.973999,-0.001155202626,698.973999,0.009688944556,
697.9671631,0.0002242303599,697.9671631,0.0101484945,
696.960022,0.001426326809,696.960022,0.01065426413,
695.9524536,0.0003213637392,695.9524536,0.01064036321,
694.9446411,0.000318073784,694.9446411,0.01003215741,
693.9364624,-1.092374168E-5,693.9364624,0.009857299738,
692.9279785,-0.0002594034595,692.9279785,0.009830449708,
692.0632935,-0.0004720587458,692.0632935,0.01112110447,
691.0541992,0.000338046957,691.0541992,0.01030480769,
690.0447388,-0.001251954702,690.0447388,0.009137342684,
689.0350342,0.0001992641191,689.0350342,0.01011584979,
688.0249634,-0.0008006910211,688.0249634,0.01003589202,
687.0145264,-0.0007178455708,687.0145264,0.01014181692,
686.0037842,0.000214388725,686.0037842,0.0106058782,
684.9927368,0.0008501242264,684.9927368,0.01119956281,
683.9813843,0.0004865144438,683.9813843,0.01095555071,
682.9696655,0.0008493980276,682.9696655,0.01119844709,
681.9577026,0.001540796598,681.9577026,0.01107054204,
680.9453125,-0.0004680248967,680.9453125,0.01176559925,
679.9326782,0.0001325046032,679.9326782,0.01094402932,
679.0643921,0.0003430727811,679.0643921,0.0111599071,
678.0511475,0.0004756821145,678.0511475,0.0119284559,
677.0375977,0.000363824307,677.0375977,0.01021272969,
676.0236816,-0.0007175354403,676.0236816,0.01104234252,
675.0094604,0.0005424425472,675.0094604,0.01174296625,
673.9949341,-0.000270527642,673.9949341,0.01093962323,
672.9801025,0.001415522886,672.9801025,0.01197706908,
671.9649048,-0.001508651185,671.9649048,0.01114583015,
