kpi,,kpi_1%Triton,,10umBM3_kpi,,10umBM3_kpi_triton1%,,20umBM3_kpi,,20umBM3_kpi_triton1%,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
727.0303345,-0.001967426389,727.0303345,0.003526669694,727.0303345,0.008450514637,727.0303345,0.00696721999,727.0303345,0.0163036678,727.0303345,0.01648546942,
726.0328979,0.0004348948423,726.0328979,0.005010914057,726.0328979,0.01096431166,726.0328979,0.009633943439,726.0328979,0.01814690232,726.0328979,0.01759462245,
725.0350952,0.0004383929772,725.0350952,0.005113210063,725.0350952,0.01155681163,725.0350952,0.008870655671,725.0350952,0.01861268282,725.0350952,0.01845891587,
724.0369873,-7.226761227E-5,724.0369873,0.005571009126,724.0369873,0.01095698494,724.0369873,0.01014814992,724.0369873,0.0187579114,724.0369873,0.01754081994,
723.0385132,0.0006995360018,723.0385132,0.005410780665,723.0385132,0.01123040263,723.0385132,0.009566431865,723.0385132,0.01891540736,723.0385132,0.01780172251,
722.0396729,0.0009230643627,722.0396729,0.00598750636,722.0396729,0.01205206197,722.0396729,0.01076973323,722.0396729,0.01983056404,722.0396729,0.01820382848,
721.0405273,-0.001169866533,721.0405273,0.00356195448,721.0405273,0.009554894641,721.0405273,0.009124997072,721.0405273,0.01831727289,721.0405273,0.01764214784,
720.0410767,0.0005787556292,720.0410767,0.005554333329,720.0410767,0.01212169137,720.0410767,0.009602713399,720.0410767,0.01928120106,720.0410767,0.01965282671,
719.0411987,0.0006773165078,719.0411987,0.004972265102,719.0411987,0.01110793278,719.0411987,0.009169755504,719.0411987,0.01843846962,719.0411987,0.01789744571,
718.0410767,0.000192219959,718.0410767,0.005847667344,718.0410767,0.01156486664,718.0410767,0.00925804209,718.0410767,0.01865761913,718.0410767,0.01795695722,
717.0405273,0.001227744971,717.0405273,0.004968442023,717.0405273,0.01207822468,717.0405273,0.009715812281,717.0405273,0.01999232545,717.0405273,0.01833838783,
716.0396729,0.0004016511666,716.0396729,0.004648149014,716.0396729,0.01172145084,716.0396729,0.00976830814,716.0396729,0.01888228767,716.0396729,0.01840141602,
715.0385132,0.0006771091139,715.0385132,0.004062563647,715.0385132,0.0113047082,715.0385132,0.009725607,715.0385132,0.01880918629,715.0385132,0.01877291128,
714.0369873,0.001213675365,714.0369873,0.004728873726,714.0369873,0.01135915052,714.0369873,0.01059229765,714.0369873,0.02052470483,714.0369873,0.01928661391,
713.0351563,-1.449611773E-6,713.0351563,0.003835115815,713.0351563,0.0116664581,713.0351563,0.01081131678,713.0351563,0.01949086599,713.0351563,0.01863427274,
712.032959,0.0008090683841,712.032959,0.004083388951,712.032959,0.0107705025,712.032959,0.009781360626,712.032959,0.01944172941,712.032959,0.01831235737,
711.0303955,0.0002510888153,711.0303955,0.004398663528,711.0303955,0.01181459334,711.0303955,0.009444880299,711.0303955,0.01868340001,711.0303955,0.0187729653,
710.0275269,0.0003031009983,710.0275269,0.004472306464,710.0275269,0.01243760996,710.0275269,0.010369597,710.0275269,0.01905732788,710.0275269,0.0185643211,
709.024353,-0.0001989657467,709.024353,0.00444285851,709.024353,0.01196211483,709.024353,0.009735374711,709.024353,0.01913452707,709.024353,0.01840860024,
708.020813,-0.0004008921096,708.020813,0.004427899607,708.020813,0.01154601853,708.020813,0.01008532755,708.020813,0.01978076622,708.020813,0.01879050769,
707.0169678,-0.0002295478625,707.0169678,0.004656312056,707.0169678,0.01262480859,707.0169678,0.01126974542,707.0169678,0.01927559823,707.0169678,0.01886733621,
