ligand,km,vmax,rsq,column_num,protein_concentration,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
Lauric Acid,55.52948400872554,0.032841343830963765,0.6112351905718412,16,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,6.541596315440908,0.006321604147184104,0.3934882859584975,17,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,-3.7874286736604534,0.015245892196859399,0.24311852791258448,18,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,2.0800944762182394,0.0018506746343835328,0.44458257705404325,19,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
,365.52031044535914,0.16983023906693429,0.7658465467667243,1,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,37.60126488564622,0.6197290079180182,0.8934493374605448,2,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,43.265297463430365,0.6215480207091995,0.9157820264965723,3,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,33.18803197153854,0.6334301538204319,0.9185217829387032,4,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,34.59141649409268,0.6444538034519338,0.909523460250287,5,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,22.60151356468013,0.18027478336948285,0.9408386367141803,6,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,15.672504621018355,0.1835715582679145,0.9335674031519006,7,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,22.350559956049704,0.18086724725749187,0.8946285213598769,8,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,16.951879106134992,0.15735217226920803,0.9584401114790768,9,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,-7.389523719837518,0.025477105634119437,0.40821662478458653,10,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,1.5184398237945003,0.05797342949319845,0.2088399428320663,11,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,0.4087320416976391,0.05357104923630637,0.209939822233428,12,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Palmitic Acid,-5.117311663589515,0.09950769722792843,0.7451792319311856,13,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,-4.877603329604385,0.02324622036072184,0.8015240201589124,14,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,138.9171939392506,0.05832658832687301,0.6866837425653609,15,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,9.495195529745754,0.03900485403323092,0.533808078123206,16,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,150.72238573329196,0.033240083258761925,0.8009424798194151,17,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,-5.17167925314327,0.006459670204300117,0.5048581452516137,18,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Lauric Acid,9.517884866862573,0.0070023635183228995,0.7193889373345608,19,27.56,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
