baseline,,sample_5_in_1000,,target5um,,target10um,,target20um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
746.0438843,0.0001567937288,746.0438843,0.002705598716,746.0438843,0.006189117208,746.0438843,0.00738903461,746.0438843,0.01631113887,
745.0525513,-0.001067466917,745.0525513,0.002525411779,745.0525513,0.004591558594,745.0525513,0.006568519864,745.0525513,0.01580333337,
744.0609131,-0.0008046700968,744.0609131,0.002488701371,744.0609131,0.005530762952,744.0609131,0.007076107897,744.0609131,0.01522174384,
743.0689087,-2.112243601E-5,743.0689087,0.003304275684,743.0689087,0.005630716216,743.0689087,0.006688690744,743.0689087,0.01623199508,
741.9347534,-0.001229859539,741.9347534,0.003007075749,741.9347534,0.004626799375,741.9347534,0.006015300751,741.9347534,0.01659964956,
740.9420166,-0.0003462679451,740.9420166,0.004602546338,740.9420166,0.005258839112,740.9420166,0.008117621765,740.9420166,0.01760885492,
739.9489136,0.0006431210204,739.9489136,0.004840997979,739.9489136,0.007089737337,739.9489136,0.00804037787,739.9489136,0.01745673642,
738.9554443,-0.0004599570821,738.9554443,0.002847842639,738.9554443,0.005543295294,738.9554443,0.008381682448,738.9554443,0.01794427633,
737.9616699,-0.0005790970172,737.9616699,0.004309476819,737.9616699,0.005667614751,737.9616699,0.00873712264,737.9616699,0.01884392463,
736.9675293,0.001090649865,736.9675293,0.004409384914,736.9675293,0.00663711736,736.9675293,0.00876681041,736.9675293,0.02031953074,
735.9730225,-0.000336387282,735.9730225,0.00378557737,735.9730225,0.006821884774,735.9730225,0.008695789613,735.9730225,0.01923966408,
734.9782104,-0.0002772537409,734.9782104,0.003280774923,734.9782104,0.005644798744,734.9782104,0.00873807352,734.9782104,0.01820512302,
733.9830322,-0.0001139868473,733.9830322,0.003201883286,733.9830322,0.006190088578,733.9830322,0.008810871281,733.9830322,0.01949863695,
732.9874878,-0.0005724272924,732.9874878,0.003512681928,732.9874878,0.00575729087,732.9874878,0.008626205847,732.9874878,0.01969047636,
731.9915771,-0.001015199232,731.9915771,0.004150602035,731.9915771,0.005619204137,731.9915771,0.008173486218,731.9915771,0.02016122639,
730.9953613,-0.0007408454549,730.9953613,0.003311161883,730.9953613,0.005705591757,730.9953613,0.007977596484,730.9953613,0.0201730486,
729.9987793,-0.00062878069,729.9987793,0.003844804596,729.9987793,0.005747506395,729.9987793,0.00894125551,729.9987793,0.02033776045,
729.0018921,-0.001033586566,729.0018921,0.002755508991,729.0018921,0.00609415397,729.0018921,0.009485226125,729.0018921,0.02117997594,
728.0046387,0.0006092392141,728.0046387,0.004429024179,728.0046387,0.006877030712,728.0046387,0.01021638699,728.0046387,0.02148753963,
727.007019,0.0004430571862,727.007019,0.003999204841,727.007019,0.008089902811,727.007019,0.009418611415,727.007019,0.02201503143,
726.0090942,-0.0004049782874,726.0090942,0.005349636078,726.0090942,0.00735912472,726.0090942,0.009842444211,726.0090942,0.02235275693,
725.0108032,-0.001164083602,725.0108032,0.003830441041,725.0108032,0.006905224174,725.0108032,0.009177157655,725.0108032,0.02169324085,
724.012146,0.0001456070895,724.012146,0.003799129976,724.012146,0.007623383775,724.012146,0.01031400543,724.012146,0.02189615183,
723.0131836,-0.0002696998126,723.0131836,0.003481941763,723.0131836,0.007450466976,723.0131836,0.01040363871,723.0131836,0.02270130068,
722.013855,0.000354471762,722.013855,0.004758708179,722.013855,0.007389008068,722.013855,0.01020236779,722.013855,0.0230946485,
721.0142212,-0.0006212329026,721.0142212,0.003980290145,721.0142212,0.007167549338,721.0142212,0.009586464614,721.0142212,0.02331482247,
720.0142212,0.000418311567,720.0142212,0.004306888673,720.0142212,0.008000166155,720.0142212,0.01036821771,720.0142212,0.02338630892,
719.013916,0.0006627721014,719.013916,0.00514165638,719.013916,0.00818010699,719.013916,0.01108065993,719.013916,0.02422414348,
718.0131836,-0.0003938575683,718.0131836,0.004407083616,718.0131836,0.007708299905,718.0131836,0.01065665204,718.0131836,0.02337800339,
717.012207,-0.0003380427079,717.012207,0.004123579711,717.012207,0.00721650105,717.012207,0.01128231175,717.012207,0.02382605337,
716.0108643,0.0001825085346,716.0108643,0.005190066062,716.0108643,0.008122131228,716.0108643,0.01093144715,716.0108643,0.02429449186,
715.0091553,6.76194104E-5,715.0091553,0.005759205669,715.0091553,0.007608525455,715.0091553,0.01026581693,715.0091553,0.02456545644,
714.0071411,0.0005119896377,714.0071411,0.005293007009,714.0071411,0.007471719291,714.0071411,0.0113050798,714.0071411,0.02479903772,
713.0047607,0.000824343937,713.0047607,0.005746614654,713.0047607,0.009152068757,713.0047607,0.01203138381,713.0047607,0.02557398006,
712.0020752,-0.0004355976416,712.0020752,0.004529875237,712.0020752,0.008001483977,712.0020752,0.01169355493,712.0020752,0.02453003824,
710.9990234,-0.0002876014041,710.9990234,0.005543085281,710.9990234,0.008812297136,710.9990234,0.01199159864,710.9990234,0.02507075481,
709.9956665,-0.0001944636169,709.9956665,0.005139403511,709.9956665,0.00874898117,709.9956665,0.01258941926,709.9956665,0.02449760959,
708.9919434,4.988512592E-5,708.9919434,0.004485226702,708.9919434,0.007865582593,708.9919434,0.01186508313,708.9919434,0.02502767369,
707.987915,9.193080041E-5,707.987915,0.005310720764,707.987915,0.007913874462,707.987915,0.01227264479,707.987915,0.02524663508,
706.9835815,0.0001437426836,706.9835815,0.005622875411,706.9835815,0.007979547605,706.9835815,0.01210021041,706.9835815,0.02583107352,
