ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,type_shift,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
Arachadionic Acid,9.326782501080414,0.07025630181819933,-1.672274311446253,5,3.8,0.065,[-0.019  -8.103   1.615   5.486   7.5185  4.5735  0.179  -4.829 ],6.13549544983272,0.017266296649832008,0.010844858870124065,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Arachadionic Acid,8.570740029552388,0.08171454029669324,-1.7474627061018766,6,3.8,0.052000000000000005,[ 3.9565 -4.917  -1.6285  3.8535 10.405   0.1805  1.6455  0.131 ],2.5006878001735116,0.020910950651341922,0.022157358870287858,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Arachadionic Acid,8.16838100543044,0.09017997416736298,-1.8864483026251437,7,3.8,0.040999999999999995,[-5.7275 -1.089  -2.556   1.3875  5.505   7.6975  8.771   4.201 ],2.1162935798990135,0.02499392783400457,0.03131295362759257,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,78.27473037533012,0.034671162960080985,-2.3444494954751076,8,3.8,0.06200000000000001,[-8.8875 -6.2015 -3.6885  0.8105 -2.132  -2.206   4.401   6.272 ],-3.28862213930893,0.013217277653565,0.0066197580636674904,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,78.94132077138838,0.029975539477282407,-2.3110987317849374,9,3.8,0.08399999999999999,[ 2.8955  8.9275  8.263   6.9225  5.817   1.9285  4.9475 11.62  ],0.46797809363239445,0.009486832980505141,0.002169002015831965,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,70.58111181630831,0.037820797086736024,-2.5720097783980473,10,3.8,0.06400000000000002,[-8.613  -5.7225 -6.6015 -0.5275 -1.8425 -2.9235 -4.449   5.445 ],-1.2905667866170154,0.014918229500465913,0.012373941536938663,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,134.33640107192565,0.0326341675843903,-2.057551910614699,11,3.8,0.065,[-0.077  -7.515  -6.3955 -6.5905  0.0545  2.5075 -2.316   4.8355],-2.2041708824616086,0.012671678206592391,-0.0034443548373866715,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,54.5306179087955,0.02689826004573052,-2.0835564477736037,12,3.8,0.083,[ 4.9115 -9.201   2.3075 -2.4555 -8.213   3.8585  8.857   2.0405],22.659784263754574,0.02249444375840398,-0.0064713709697710314,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Palmitic Acid,35.46123689788798,0.020355006377440456,-2.3763654182810603,13,3.8,0.067,[-12.448  -12.2255 -14.267   -0.86    -1.6995  -2.5875  -1.779    7.801 ],-1.4882812701468313,0.01812456896039186,0.00817983870643268,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,180.4966303957547,0.01764280785455347,-1.9740917901768635,14,3.8,0.08800000000000001,[ 1.445   0.576   5.7835 -0.1215  3.0995  2.4765  6.704   1.4315],0.850640902139802,0.005656854249492385,-0.0019020161288102507,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
