ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_cv,type_shift,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
Palmitic Acid,2524.2017264232786,0.3714164500094282,-1.9900236983134638,10,14.09,0.26899999999999996,0.32045120237119273,-0.01353971774279407,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,-0.7318555985689564,0.011781541937074825,0.1716236800550217,11,14.09,0.32599999999999996,0.12382186184130281,-0.008967489919696665,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,16.15465795131018,0.01744087721217151,-1.0927171282232702,12,14.09,0.33999999999999997,0.08355106285684287,-0.004125655244683363,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,2.7896729619523883,0.014869905093345534,-0.1044696040240709,13,14.09,0.33899999999999997,0.11394476179123143,-0.008519959676157138,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,-4.7548593887553,0.009698171978978109,0.2618208893667775,14,14.09,0.29900000000000004,0.2145211792363701,-0.00205685484112057,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,1.328305189712025,0.004054537989298798,-0.6617081222394583,15,14.09,0.303,0.134248814199567,-0.00446688507761534,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,-0.2045970712804792,0.01289297678991054,-0.3395189092650448,16,14.09,0.298,0.05006918275615322,-0.0025074596806195335,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,22.681861007349884,0.005386712281685594,-1.2302365082373274,17,14.09,0.29800000000000004,0.1316097681202775,-0.001400302417762082,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,4.693129255045889,0.0021869285003837786,-0.18170086805881636,18,14.09,0.018000000000000002,0.5867667281356015,0.004121774194729443,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,-9.37641255664194,0.00032001482340782476,-1.5639544059910393,19,14.09,0.0010000000000000009,2.870883637295873,0.0001390625000058571,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
,-2.764369972933389,0.043765713265260964,-1.194882462354494,1,27.56,0.582,0.11361575863588029,0.008689314514686207,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,42.46933650424649,0.6299789636854215,-2.3465868853015386,2,27.56,0.624,0.04775049590815035,0.06993659274079421,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,35.56497264256018,0.619756283473516,-2.5150321246857628,3,27.56,0.643,0.05579430606363663,0.06746693548237612,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
Arachadionic Acid,44.90087375141798,0.6479766510990876,-2.362630536834059,4,27.56,0.642,0.09217697213286846,0.07123482862671274,8,0,Thermo 384 Well untreated non-sterile (262160),2,3700,20190626_plate3.CSV,0
