,SrcID,DestID,Volume
261,E5,A9,1442.5
262,F3,I9,7.5
263,E5,I9,1442.5
264,F3,B9,52.5
265,E5,B9,1397.5
266,F3,J9,52.5
267,E5,J9,1397.5
268,F3,C9,155.0
269,E5,C9,1295.0
270,F3,K9,155.0
271,E6,K9,1295.0
272,F3,D9,332.5
273,E6,D9,1117.5
274,F3,L9,332.5
275,E6,L9,1117.5
276,F3,E9,597.5
277,E6,E9,852.5
278,F3,M9,597.5
279,E6,M9,852.5
280,F3,F9,965.0
281,E6,F9,485.0
282,F4,N9,965.0
283,E6,N9,485.0
284,F4,G9,1450.0
286,F4,O9,1450.0
289,E6,A0,1450.0
291,E6,B0,1450.0
292,F4,A10,7.5
293,E6,A10,1442.5
294,F4,I10,7.5
295,E7,I10,1442.5
296,F4,B10,52.5
297,E7,B10,1397.5
298,F4,J10,52.5
299,E7,J10,1397.5
300,F4,C10,155.0
301,E7,C10,1295.0
302,F4,K10,155.0
303,E7,K10,1295.0
304,F4,D10,332.5
305,E7,D10,1117.5
306,F4,L10,332.5
307,E7,L10,1117.5
308,F4,E10,597.5
309,E7,E10,852.5
310,F4,M10,597.5
311,E8,M10,852.5
312,F4,F10,965.0
313,E8,F10,485.0
314,F4,N10,965.0
315,E8,N10,485.0
316,F4,G10,1450.0
318,F5,O10,1450.0
321,E8,A0,817.5
323,E8,B0,817.5
324,F5,A11,117.5
325,E8,A11,700.0
326,F5,I11,117.5
327,E8,I11,700.0
328,F5,B11,232.5
329,E8,B11,585.0
330,F5,J11,232.5
331,E8,J11,585.0
332,F5,C11,350.0
333,E8,C11,467.5
334,F5,K11,350.0
335,E8,K11,467.5
336,F5,D11,467.5
337,E8,D11,350.0
338,F5,L11,467.5
339,E8,L11,350.0
340,F5,E11,585.0
