kpi,,kpiTriton,,kpi_5uMBM3,,kpitriton__5uMBM3,,kpitriton__10uMBM4,,kpi__10uMBM5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
751.9949341,-0.0009275384946,751.9949341,-0.001123911003,751.9949341,0.003098993562,751.9949341,-0.0008594433311,751.9949341,0.002282997593,751.9949341,0.007164786104,
751.0062256,0.001138246735,751.0062256,0.005121827591,751.0062256,0.003454752266,751.0062256,0.004783885553,751.0062256,0.007341748103,751.0062256,0.008753181435,
750.0172119,0.001544225728,750.0172119,0.005321595818,750.0172119,0.004949825816,750.0172119,0.002881039632,750.0172119,0.004801290575,750.0172119,0.008295975626,
749.027832,0.003215313423,749.027832,0.006521585397,749.027832,0.006535696797,749.027832,0.00462509878,749.027832,0.00788954366,749.027832,0.006172863767,
748.0380859,-0.0006726175779,748.0380859,0.001292414265,748.0380859,0.0006494984264,748.0380859,0.00190903456,748.0380859,0.006376530975,748.0380859,0.008608330041,
747.0479736,0.001905212528,747.0479736,0.001861327095,747.0479736,0.005404280499,747.0479736,0.003978696652,747.0479736,0.00601656083,747.0479736,0.007415312808,
746.0575562,-0.005890604109,746.0575562,0.0003770374169,746.0575562,0.0008426545537,746.0575562,0.0001437944738,746.0575562,0.0003638761409,746.0575562,0.007362573408,
745.0667725,0.004641241394,745.0667725,0.003234116361,745.0667725,0.003630678868,745.0667725,0.003193773096,745.0667725,0.006572120357,745.0667725,0.009657154791,
743.934021,1.441872337E-5,743.934021,0.001678917441,743.934021,2.399695586E-5,743.934021,0.002124289982,743.934021,0.00500549376,743.934021,0.004825554322,
742.9424438,0.000635266013,742.9424438,0.004520066548,742.9424438,0.001975755673,742.9424438,0.0005150218494,742.9424438,0.007734439336,742.9424438,0.00836075563,
741.9505615,0.0001055758112,741.9505615,0.0005999591085,741.9505615,0.002127411542,741.9505615,0.0008858924266,741.9505615,0.004916967824,741.9505615,0.007382478565,
740.958313,0.003125639167,740.958313,0.006709905341,740.958313,0.004635250196,740.958313,0.003882753197,740.958313,0.0101479115,740.958313,0.01061298698,
739.9656982,-0.003837622236,739.9656982,0.002258224878,739.9656982,0.003942855634,739.9656982,0.002690335037,739.9656982,0.004797861911,739.9656982,0.005817863159,
738.9727783,0.0009902827442,738.9727783,0.004804824013,738.9727783,0.007793232799,738.9727783,0.006125709973,738.9727783,0.008834487759,738.9727783,0.007637161762,
737.9794312,-6.201834913E-5,737.9794312,0.005266778171,737.9794312,0.005921005737,737.9794312,0.003181673586,737.9794312,0.008800489828,737.9794312,0.01020154636,
736.9858398,-0.0002583168971,736.9858398,0.003413658356,736.9858398,0.006397494115,736.9858398,0.002956875833,736.9858398,0.006763459649,736.9858398,0.008472660556,
735.9918213,0.001967408461,735.9918213,0.004617929924,735.9918213,0.004640142433,735.9918213,0.006694421638,735.9918213,0.009822770953,735.9918213,0.008437951095,
734.9974976,0.0007733065868,734.9974976,0.004971584305,734.9974976,0.004778886214,734.9974976,0.004347413313,734.9974976,0.009275019169,734.9974976,0.00658652233,
734.0028076,0.001700096764,734.0028076,0.002319924999,734.0028076,0.004002992995,734.0028076,0.005446952768,734.0028076,0.005425564013,734.0028076,0.007826467045,
733.0077515,-0.000533440907,733.0077515,0.00501560187,733.0077515,0.002386683132,733.0077515,0.005510890391,733.0077515,0.006464777049,733.0077515,0.009294641204,
732.0123901,0.0005331379944,732.0123901,0.002377313096,732.0123901,0.005674800836,732.0123901,0.004614214879,732.0123901,0.008306899108,732.0123901,0.006882422138,
731.0166626,0.003240662161,731.0166626,0.005923761055,731.0166626,0.005784782115,731.0166626,0.00228874851,731.0166626,0.008566112258,731.0166626,0.008638458326,
730.0205688,-0.0001044632008,730.0205688,0.0009799049003,730.0205688,0.003928332124,730.0205688,0.004208467435,730.0205688,0.007702555507,730.0205688,0.00730044255,
729.0241699,0.002715679351,729.0241699,0.004812231287,729.0241699,0.007613188587,729.0241699,0.006332349032,729.0241699,0.008153835312,729.0241699,0.01179831475,
728.0274048,0.003026886145,728.0274048,0.003283617785,728.0274048,0.006242922042,728.0274048,0.00478487974,728.0274048,0.01048066746,728.0274048,0.01214868296,
727.0303345,-0.00100652175,727.0303345,0.00506577827,727.0303345,0.005441238638,727.0303345,0.00410011271,727.0303345,0.006052573211,727.0303345,0.008568804711,
726.0328979,0.002532754326,726.0328979,0.004076386336,726.0328979,0.005391254555,726.0328979,0.004114328884,726.0328979,0.00816578418,726.0328979,0.01135912444,
725.0350952,0.002507212339,725.0350952,0.002995841438,725.0350952,0.006013358478,725.0350952,0.007084896322,725.0350952,0.009196035564,725.0350952,0.01066747587,
724.0369873,0.001929652994,724.0369873,0.002031641779,724.0369873,0.007127312943,724.0369873,0.005954753142,724.0369873,0.009688467719,724.0369873,0.008646354079,
723.0385132,-0.0008950938936,723.0385132,0.004015690181,723.0385132,0.003274176037,723.0385132,0.004211368971,723.0385132,0.01110891532,723.0385132,0.01022566296,
722.0396729,-0.001458964893,722.0396729,0.003533324692,722.0396729,0.004804954864,722.0396729,0.003862694604,722.0396729,0.006675994024,722.0396729,0.009399803355,
721.0405273,-0.001333717722,721.0405273,0.003254745621,721.0405273,0.004153764341,721.0405273,0.006001022644,721.0405273,0.008153307252,721.0405273,0.007301627193,
720.0410767,-0.001960520167,720.0410767,0.0007120074006,720.0410767,0.003856609343,720.0410767,0.002011044417,720.0410767,0.006742084399,720.0410767,0.0089655146,
