baseline,,bm3WT_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
646.0454712,-0.001863101148,646.0454712,0.009967656806,
645.0220947,0.001513260766,645.0220947,0.01067965291,
643.9984131,3.199623461E-5,643.9984131,0.009305828251,
642.9744263,0.001049986458,642.9744263,0.009138770401,
641.9501343,-0.0004157884105,641.9501343,0.01199165173,
641.0718994,0.0004472809087,641.0718994,0.01090686582,
640.0470581,0.002826946089,640.0470581,0.01107906643,
639.0219116,0.0003808719048,639.0219116,0.008231547661,
637.99646,0.0003104837087,637.99646,0.009143423289,
636.9707031,0.0005315570161,636.9707031,0.009137977846,
635.9446411,0.0006126091466,635.9446411,0.009022914805,
635.0649414,0.000311675336,635.0649414,0.01037195604,
634.038269,-0.001582164201,634.038269,0.01030422468,
633.0113525,-0.001105682459,633.0113525,0.009780936874,
631.9841919,-0.0005294593866,631.9841919,0.01193864644,
630.956665,-7.801329775E-5,630.956665,0.008736065589,
629.928833,-0.0001578757074,629.928833,0.009805401787,
629.0476074,-0.0006181827048,629.0476074,0.009380890056,
628.0192871,0.0003124783689,628.0192871,0.01096314378,
626.9906006,0.00113803905,626.9906006,0.01018495671,
625.9616699,0.002174471738,625.9616699,0.01031180564,
624.9324341,0.0002690903202,624.9324341,0.008978595026,
624.0499878,0.001166848931,624.0499878,0.01235365495,
623.0201416,0.0001827675005,623.0201416,0.011410092,
621.9900513,-0.0006147188833,621.9900513,0.00980436895,
620.9597168,0.002628452145,620.9597168,0.01064532436,
619.9290161,0.001167290146,619.9290161,0.01106196549,
619.0453491,0.0006651053554,619.0453491,0.008384347893,
618.0141602,-0.0006159079494,618.0141602,0.007771174423,
616.982605,0.001108011464,616.982605,0.0105603626,
615.9508057,-8.940093539E-5,615.9508057,0.009273987263,
615.0661621,0.000541094807,615.0661621,0.01011661813,
614.0338745,0.0006758387317,614.0338745,0.009280282073,
613.0012207,0.0005518769613,613.0012207,0.01047650445,
611.9683228,0.0001476009784,611.9683228,0.01041832753,
610.9351196,0.000832565478,610.9351196,0.01048178133,
610.0492554,-0.00021469692,610.0492554,0.01185571868,
609.0155029,-0.001664535492,609.0155029,0.009305749089,
607.9815063,-0.0008101477288,607.9815063,0.01092210226,
606.9471436,-0.0009028952336,606.9471436,0.01087538525,
606.0603638,0.0007476345636,606.0603638,0.01071472745,
605.0255127,0.0005282654893,605.0255127,0.01126055326,
603.9904175,0.0005436348147,603.9904175,0.01276793983,
602.9550171,0.002774448367,602.9550171,0.01417644694,
602.0672607,-0.0009105931967,602.0672607,0.01126166899,
601.031311,0.001369297854,601.031311,0.01389691886,
599.9951172,-0.001621727017,599.9951172,0.01305106375,
598.9585571,0.001301241922,598.9585571,0.01328419149,
598.0699463,0.0007955828332,598.0699463,0.01392180286,
597.0328979,0.0007164930576,597.0328979,0.01402624696,
595.9955444,-0.001509889378,595.9955444,0.01480998751,
594.9579468,-0.001274874667,594.9579468,0.014891739,
594.0683594,0.001016747556,594.0683594,0.01600299962,
593.0302734,0.000384369574,593.0302734,0.01428341307,
591.9918823,-0.0009787837043,591.9918823,0.01702565141,
590.953186,0.0008527698228,590.953186,0.01817807741,
590.0626831,0.0003149133991,590.0626831,0.01652429625,
589.0234985,0.0007130185841,589.0234985,0.01879123785,
587.9840088,0.000839386601,587.9840088,0.01983126812,
586.9442749,0.001251031063,586.9442749,0.02006275207,
586.0527954,-0.0007244097069,586.0527954,0.01983885467,
585.0125732,-0.002135098446,585.0125732,0.02076090313,
583.9719849,0.0001387450611,583.9719849,0.0245892331,
582.9312134,-0.0008811956504,582.9312134,0.02583192475,
582.0388794,-0.001469903626,582.0388794,0.02672817372,
580.9974976,9.182723443E-5,580.9974976,0.03005936183,
579.9559326,-0.0008140233695,579.9559326,0.029452255,
579.0629272,0.0001383825438,579.0629272,0.03121211752,
578.020813,-0.0006924151094,578.020813,0.03120307811,
576.9784546,0.001253081951,576.9784546,0.03431414813,
575.935791,-0.0003381978895,575.935791,0.0333504118,
575.0418701,-0.00061290944,575.0418701,0.03612697497,
573.9987183,-0.001672065235,573.9987183,0.0364199765,
572.9552612,-0.0006433590315,572.9552612,0.03601446375,
572.0606689,0.001316404901,572.0606689,0.03860713169,
571.0167847,-0.001362620154,571.0167847,0.03839807212,
569.9725952,0.001772945747,569.9725952,0.03885184601,
568.9281006,-0.0005214961129,568.9281006,0.03925134614,
568.0326538,0.0001525210246,568.0326538,0.03957893327,
566.9876709,0.0002555696992,566.9876709,0.03823815659,
565.9424438,0.0003645497491,565.9424438,0.03860860318,
565.0463257,-0.0003053988039,565.0463257,0.03702340648,
564.0006104,-0.0005544340238,564.0006104,0.03760847822,
562.9545898,-0.0005374224274,562.9545898,0.03673453256,
562.0578003,-0.0004973469768,562.0578003,0.03646544367,
561.0113525,0.0009394593653,561.0113525,0.03668731824,
559.9645996,-0.0001383643394,559.9645996,0.03589270264,
559.0671997,0.0005887092557,559.0671997,0.03552529588,
558.0199585,0.001369817299,558.0199585,0.0379893519,
556.9724121,-0.0001886677201,556.9724121,0.0354202427,
556.0743408,0.001564125414,556.0743408,0.03558398411,
555.0263672,-0.001205440029,555.0263672,0.03584139422,
553.9781494,0.000909575203,553.9781494,0.03574815392,
552.9296265,9.666896221E-5,552.9296265,0.03601882234,
552.0307007,3.054651825E-5,552.0307007,0.03611023724,
550.9816895,-0.0002982592268,550.9816895,0.03695975989,
549.9324341,-0.000603448425,549.9324341,0.03594714031,
549.0328369,0.0005639293813,549.0328369,0.03668644652,
547.9831543,9.293162293E-6,547.9831543,0.03756009787,
546.9331055,0.0003963655618,546.9331055,0.03781295195,
546.0328979,0.0003463111061,546.0328979,0.038162034,
544.9824829,8.01762435E-5,544.9824829,0.03812122345,
543.9317017,0.0007729434874,543.9317017,0.03988230601,
543.0308838,-0.0002689237008,543.0308838,0.04007714987,
541.9796753,0.0004231828207,541.9796753,0.03954011574,
540.9282227,0.0001080096918,540.9282227,0.04008083791,
540.0267944,0.0005709795514,540.0267944,0.04027477652,
538.9748535,-0.0002725454688,538.9748535,0.04054057971,
538.072998,0.0004703956074,538.072998,0.04032289237,
537.0205688,0.001165888505,537.0205688,0.04036944732,
535.9678955,0.0005740122288,535.9678955,0.04118352011,
535.0654297,0.00154087448,535.0654297,0.04044939578,
534.0122681,0.0001291642984,534.0122681,0.04129675031,
532.9589233,-0.000113728056,532.9589233,0.04038737342,
532.0557861,5.092068386E-5,532.0557861,0.04057960212,
531.0019531,0.001289558364,531.0019531,0.04068727419,
529.947876,-0.0004707141197,529.947876,0.0398754403,
529.0441284,-7.894502778E-5,529.0441284,0.03852212057,
527.989624,0.0002514514199,527.989624,0.03870163858,
526.9348145,-0.0002058999526,526.9348145,0.03743324801,
526.0304565,0.0001755423436,526.0304565,0.0378151238,
524.9752197,5.902401972E-5,524.9752197,0.0371851027,
524.0704956,0.0004527225974,524.0704956,0.0364834331,
523.0147705,-0.0006860055728,523.0147705,0.03506614268,
521.9587402,-0.001380063943,521.9587402,0.03471659124,
521.0534668,0.0004932783195,521.0534668,0.03570399806,
519.9970093,0.0003752756456,519.9970093,0.03534705564,
518.9403076,0.0003429950448,518.9403076,0.03484946862,
518.0344238,0.001025154372,518.0344238,0.03446113691,
516.9772949,0.0009289270383,516.9772949,0.03330138326,
516.0709839,-0.0004676628741,516.0709839,0.03300254419,
515.0133667,-0.0005285803345,515.0133667,0.03182659298,
513.9555664,0.0002323369263,513.9555664,0.03327287734,
513.048645,0.0003844214079,513.048645,0.03259211779,
511.990387,0.0003191099968,511.990387,0.03089353256,
510.9318542,-0.0005730477278,510.9318542,0.03109472804,
510.024353,0.0001862635982,510.024353,0.03081802092,
508.9653931,0.0002631070092,508.9653931,0.03049528226,
508.0575256,-0.0003270754532,508.0575256,0.03103678115,
506.9981079,0.0002798656933,506.9981079,0.03048128635,
505.9384766,-0.000363752566,505.9384766,0.02975495346,
505.0299988,-0.0002440878452,505.0299988,0.02859762125,
503.9699097,0.0008844657568,503.9699097,0.02966242842,
503.0610657,0.0010612224,503.0610657,0.02920729853,
502.0005188,-9.980482719E-5,502.0005188,0.02928003669,
500.9397583,0.0009226233233,500.9397583,0.0288827084,
500.0303345,0.0005340451025,500.0303345,0.0287824031,
498.9691467,-0.0009115231223,498.9691467,0.02854542434,
498.0593262,0.0002374651231,498.0593262,0.02846512571,
496.9976807,0.0007105295081,496.9976807,0.02863660641,
495.9358215,-0.0003539240279,495.9358215,0.02877958305,
495.0254517,0.0006550204125,495.0254517,0.02861622907,
493.9631348,-0.0007757822168,493.9631348,0.02804493159,
493.0523987,0.001604914898,493.0523987,0.0292654708,
491.9896545,0.0003953551059,491.9896545,0.02883031219,
490.9266663,0.0002174706897,490.9266663,0.02833824977,
490.0153503,0.0003410779755,490.0153503,0.0288990885,
488.9519653,8.530264313E-5,488.9519653,0.02902767621,
488.0402832,0.0004197625676,488.0402832,0.02866199054,
486.9764404,0.0007705577882,486.9764404,0.02930244058,
486.0643921,0.0006058174768,486.0643921,0.02929330058,
485.0001526,0.0006176122115,485.0001526,0.02939087152,
483.9356384,0.0005048367311,483.9356384,0.02969189174,
483.0230408,0.000311675336,483.0230408,0.02992150933,
481.9581299,0.0004345061898,481.9581299,0.0301214233,
481.045166,0.0002899937681,481.045166,0.02998904325,
479.9798279,7.341881428E-5,479.9798279,0.0310155116,
479.0665283,0.0006252854364,479.0665283,0.0310058929,
478.0007629,-0.0008167104679,478.0007629,0.03062312119,
476.9347839,0.00116843218,476.9347839,0.03196666762,
476.0209045,0.0003565702355,476.0209045,0.03222623467,
474.9544983,-4.44698162E-5,474.9544983,0.03224870563,
474.0402832,0.00042548895,474.0402832,0.03245992959,
472.9734802,0.0003994488216,472.9734802,0.03373853117,
472.0588684,0.0006787165767,472.0588684,0.03379656002,
470.9916687,0.0006115981378,470.9916687,0.03483701497,
469.9241943,4.113475006E-5,469.9241943,0.03489692882,
469.0090637,0.000717504241,469.0090637,0.03659412265,
467.9412231,0.0004359313461,467.9412231,0.03726136312,
467.0257263,0.0001718391577,467.0257263,0.03793304786,
465.9574585,-2.469451101E-5,465.9574585,0.03861830756,
465.041626,0.0004937447957,465.041626,0.04087710381,
463.9729614,0.000832124555,463.9729614,0.04236730933,
463.0567627,0.000674801704,463.0567627,0.04251633584,
461.9877014,-0.0003489579249,461.9877014,0.04401931912,
461.071167,0.0005761895445,461.071167,0.04575873911,
460.0016785,0.000322840322,460.0016785,0.04767940938,
458.9319763,0.0004187002196,458.9319763,0.04981875792,
458.0149231,0.0003964173957,458.0149231,0.05035740882,
456.9448242,0.0001241150603,456.9448242,0.05260210857,
456.0274048,8.618293941E-5,456.0274048,0.05379694328,
454.9569092,-0.0001904272067,454.9569092,0.05593714863,
454.0391541,0.0004879397748,454.0391541,0.05938215926,
