experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,well_volume,concentrations,controls_ok,centrifuge_minutes,plate_type,centrifuge_rpm,dispense_bulk,dispense_ligands,k,percent_dmso,protein_days_thawed
20,Arachadionic acid,27.555803031304688,0.40999999995441455,-42.89481338501534,15.2,0.223,33.06012500000004,0.13689103471178968,0.009425459443140466,0.00809939516112783,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,9.553383547654684,0.2146373040439821,-8.872610358580555,15.2,0.22100000000000003,33.32500000000005,0.22508059508387843,0.007019106577254494,0.013669606853425473,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,1.6899520519330595,0.15815557350632958,-0.10966502165836034,7.5,0.251,25.780000000000022,0.5874554053386192,0.07864829032743542,-0.016019254034203054,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,5.48942982306754,0.2333506349849086,-3.570979276409714,7.5,0.23,29.565312500000072,0.4653631909575377,0.05904825508490009,0.001630544354026233,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,25.43672447609365,0.6599966989972917,-46.488866711343874,7.5,0.249,40.408750000000055,0.29455684490418416,0.01271599105738238,0.021987147176843858,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,10.58571763439058,0.3419640009629165,-12.140231200568927,7.5,0.24000000000000002,35.75062500000004,0.2866812505679301,0.01927201894679731,0.018112348791197976,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,21.46728158066693,0.5739391456298345,-35.243511448392304,7.5,0.25199999999999995,38.35712500000009,0.2046416003296265,0.008141603913585725,0.02161411290237088,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,14.021708573691297,0.41237681918730007,-17.869260233520734,7.5,0.23599999999999996,37.71606250000005,0.2712857696014431,0.01973394464947572,0.02211381048264109,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic,26.790387192268295,0.9049999988620916,-46.018048635537674,15.2,0.509,69.55381249999994,0.1312331317944887,0.013490075717250189,0.019671774191703253,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic,13.353405485342545,0.5001889220555263,-17.405377993644812,15.2,0.46499999999999997,64.54399999999993,0.1942455355327227,0.035697138740881096,0.024002620967674818,40,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
