blank,,bm3Rep2_workingconc,,bm3Rep3_workingconc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
740.9882202,0.0005749194534,740.9882202,0.005645873956,740.9882202,0.006493601017,
739.9932251,-0.002576280851,739.9932251,0.004728141241,739.9932251,0.003610945307,
738.9979248,-0.000950527261,738.9979248,0.006336210296,738.9979248,0.004158416297,
738.0022583,-0.0003986162483,738.0022583,0.006677282043,738.0022583,0.00589862233,
737.0062866,-0.0008340211352,737.0062866,0.006588782649,737.0062866,0.006247281097,
736.0099487,0.0006003997987,736.0099487,0.006979872473,736.0099487,0.004562259186,
735.0132446,-0.0003518030862,735.0132446,0.006151150446,735.0132446,0.005845305976,
734.0161743,-0.0002789093996,734.0161743,0.006278086454,734.0161743,0.006085202098,
733.0187378,-0.0001150737662,733.0187378,0.004565476906,733.0187378,0.00554570742,
732.0209961,0.0002185066405,732.0209961,0.006873927545,732.0209961,0.006189090665,
731.0229492,-0.0001523380924,731.0229492,0.006664401852,731.0229492,0.005476993509,
730.0244751,-0.0001808017405,730.0244751,0.006778499112,730.0244751,0.006508709863,
729.0256958,9.938760195E-5,729.0256958,0.006708696019,729.0256958,0.006931946613,
728.0266113,-0.0002581616864,728.0266113,0.00646280637,728.0266113,0.005938771181,
727.0270996,0.0005963041913,727.0270996,0.00706155831,727.0270996,0.007370603736,
726.0272827,0.0001443641522,726.0272827,0.007623857819,726.0272827,0.007008783054,
725.0271606,-0.000417029747,725.0271606,0.006035511382,725.0271606,0.006266872399,
724.0266724,-0.0001231997303,724.0266724,0.005884111859,724.0266724,0.006268947385,
723.0258179,5.306656021E-6,723.0258179,0.006832876708,723.0258179,0.006239061709,
722.0245972,-0.0001408485987,722.0245972,0.006186307408,722.0245972,0.006065225694,
721.0230713,-8.619172149E-5,721.0230713,0.007017701399,721.0230713,0.007223133463,
720.0212402,-0.0003843917802,720.0212402,0.007179470733,720.0212402,0.006748473272,
719.019043,0.0003839032142,719.019043,0.007413969841,719.019043,0.006448198576,
718.0164795,-0.0002941720304,718.0164795,0.00798020605,718.0164795,0.005613199435,
717.0136108,0.0003361040144,717.0136108,0.007584975101,717.0136108,0.006503796205,
716.010376,-0.0005153943202,716.010376,0.006507684942,716.010376,0.005827386864,
715.0068359,0.0009506924544,715.0068359,0.008141702041,715.0068359,0.007326636463,
714.0029297,0.000640917453,714.0029297,0.008391262963,714.0029297,0.00755289197,
712.9986572,0.0001192730342,712.9986572,0.006624316797,712.9986572,0.006617719773,
711.9940796,-0.001138421125,711.9940796,0.006843474228,711.9940796,0.006401802413,
710.9891968,-0.001284321072,710.9891968,0.007817216218,710.9891968,0.007549019996,
709.9839478,-0.0006174588925,709.9839478,0.007307523862,709.9839478,0.006371224765,
708.9783936,-0.0006201472133,708.9783936,0.006596798543,708.9783936,0.00708481716,
707.9724731,0.0003738247906,707.9724731,0.007274829317,707.9724731,0.007455654908,
706.9661865,0.0003685136326,706.9661865,0.007250296883,706.9661865,0.006416803226,
705.9595947,0.0004317854473,705.9595947,0.008208069019,705.9595947,0.007612529676,
704.9526978,0.001551447669,704.9526978,0.009634896182,704.9526978,0.008854619227,
703.9454346,-0.002233692678,703.9454346,0.004877672065,703.9454346,0.006387169939,
702.9378662,0.0010002458,702.9378662,0.007585686632,702.9378662,0.006663954817,
701.9299316,0.001897802693,701.9299316,0.009654561058,701.9299316,0.009108977392,
701.0657349,0.001238674042,701.0657349,0.008790610358,701.0657349,0.00812025927,
700.0571899,0.001127683674,700.0571899,0.008716045879,700.0571899,0.007119760383,
699.0483398,0.001713350532,699.0483398,0.009017734788,699.0483398,0.007683400065,
