experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,% DMSO,well_volume,concentrations,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_ligands,dispense_bulk,picklist
16,Arachadionic acid,1.8135369171805682e-20,0.08928571428571429,0.12478688396808413,7.45,0.33899999999999997,40.637249999999966,1.49702061390191,0.12946200490601756,0.04542792338512105,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,3.1051706541934463,0.081373246788116,-1.0794340111955623,7.45,0.089,13.885437500000002,0.2541471537607289,0.0075297030865385745,0.010076814516506548,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,4.994169535498074,0.14722379538774805,-3.136143122385051,7.45,0.146,16.45837500000001,0.20038669939472065,0.008542958671159704,0.011092439514726153,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,26.298101105145847,0.33999999964512134,-48.256434452826575,7.45,0.14200000000000002,16.337375000000023,0.2616556567604994,0.008684962373468948,0.009794304436128177,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.3000204047619398,0.08464795945756215,0.8748017001749064,7.45,0.13899999999999998,14.614687500000011,0.08953188920713387,0.00505505404803662,0.018412197579092418,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,2.7183859654316542,0.11134179348251097,-1.9237929018637216,7.45,0.142,16.793750000000006,0.10978931880730984,0.00616441400296897,0.016189062499641617,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.10632407136213291,0.11512852554579914,0.965058191958582,7.45,0.189,35.28856250000005,0.22448298768724434,0.011646581350029585,0.032940120967278184,1.0,5.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,3.532531166679884,0.1947484044563756,-3.100168052721415,7.45,0.188,33.73868750000006,0.22123747052592718,0.014985111658862318,0.02921058467640302,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,28.201583490432643,0.49499999994553784,-35.43570295069576,7.45,0.194,14.058374999999998,0.475498785442908,0.009876921151278438,0.004598387092906232,4.0,5.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,33.66492262497622,0.4499999999999902,-76.1941595567416,7.45,0.197,17.871125000000013,0.2458190685589836,0.009179752564359083,0.006623689516756315,1.0,5.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,1.096720700230405,0.13625599194852264,0.04129452446118431,7.45,0.179,24.05318749999999,0.08691752208043184,0.010081808227835776,0.030336945562734644,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,6.392910365795906,0.2202153064552222,-2.9176865452872316,7.45,0.192,24.746125000000017,0.16108104313122643,0.008219097969276893,0.015849647178567784,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,29.90783230758409,0.434999952247414,-36.38431340499769,7.45,0.187,17.607437499999996,0.4768529683506302,0.014538127212854577,0.005745010079842516,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,40.36958938683876,0.4649999999999635,-37.91869987756534,7.45,0.189,20.81012500000001,0.21769891522816354,0.01054243127285434,0.005572429433171062,4.0,5.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,3.1860858141307213,0.05405255768722145,-2.3767753606514184,7.45,0.09999999999999998,14.845812500000015,0.4609669701006984,0.021751436734156207,0.0030461189522936866,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.13, 134.98, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,2.2873677787820372,0.05989755553417508,-1.399996066893621,7.45,0.097,7.869312500000006,0.663345934452005,0.008733147035453897,-0.0010542338724542524,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,26.64554389638586,0.31499999974548376,-40.50598386854831,7.45,0.092,16.71437500000002,0.19079616179481448,0.008241879119992685,0.008856502015929921,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,30.620525721259853,0.28499999727815784,-35.495070257479874,7.45,0.13,19.835875000000048,0.4921285666903537,0.01879162047296614,0.010365171368337936,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,31.175542768395612,0.3199996915893835,-38.68030411002662,7.45,0.188,19.99725000000001,0.8547389923420361,0.04583491339267792,0.014731098791055192,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,34.79227755508757,0.2549996387059664,-113.14682594675877,7.45,0.128,13.658062500000028,0.906963736952536,0.02337886713618581,0.010870362903578297,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.14, 134.99, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,2.1713636078462243e-20,0.08842857142857143,0.09933468541117008,7.45,0.347,37.95506249999999,1.721272027800973,0.1430304038607576,0.0441572076598224,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,1.4374717980624225,0.05352105227215803,0.1497534357518181,7.45,0.092,11.768687500000013,0.4764979858573349,0.011386081729148846,0.010365574598840778,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,1.91748653997974,0.09767442831512602,-0.03300309802609491,7.45,0.123,12.183500000000016,0.4631943194374973,0.011310551331768554,0.014584576613371356,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,25.718278945298398,0.3599999954740527,-40.89381709333566,7.45,0.129,14.817500000000008,0.22213057482233928,0.015257316745932566,0.009956502014139352,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.17921482869495237,0.0819425324608195,0.9506258592264605,7.45,0.128,14.144000000000009,0.15029021664930103,0.004440077219405727,0.017658014111593096,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,2.855320704618045,0.1136085429672703,-2.024111231929599,7.45,0.127,15.228687500000007,0.16928006393014675,0.004897156609415598,0.015388911288710477,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.4081707291472382,0.13105360783809297,0.7989752006307955,7.45,0.194,33.53768750000005,0.26363074894438154,0.010322478938151023,0.02661864919169657,1.0,5.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,3.496706627635232,0.18489955858040663,-3.1489979873298735,7.45,0.186,34.761125000000064,0.24234936791524306,0.01176860229593982,0.02311431451593135,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,27.39286665512877,0.45999999928478863,-36.36791773527968,7.45,0.189,11.063375000000002,0.6746737874256816,0.015240336516719608,-0.0025507056467364455,4.0,5.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,31.70253424542863,0.36999999996319094,-77.55414379798654,7.45,0.17900000000000002,11.654125000000013,0.49133408751440516,0.009543135154205275,-0.00027207660830648104,1.0,5.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.8605667491681078,0.1274816043916397,0.3280224371032435,7.45,0.176,23.290875000000007,0.10836612000816599,0.0048236767245387795,0.024737247983130706,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,5.44008167162057,0.18902031341050687,-1.9634227940972062,7.45,0.186,22.668687500000015,0.2006134760732957,0.005444525428617002,0.012596874997058137,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,29.30407372712959,0.4199999998838697,-36.840358163821726,7.45,0.183,16.697375000000008,0.7049044486378397,0.02398213620891303,0.0019009576598468837,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,39.796514949226975,0.4299999999999743,-38.83725692048995,7.45,0.175,17.625625,0.30252095293830844,0.013054145482784937,0.0033332157249304013,4.0,5.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
