experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,well_volume,concentrations,controls_ok,centrifuge_minutes,plate_type,centrifuge_rpm,dispense_bulk,dispense_ligands,k,percent_dmso,protein_days_thawed
21,Arachadionic acid,0.3847017514198462,0.01685104298410317,0.8201623107995434,4.54,0.14800000000000002,9.51068749999999,0.16887649502663132,0.0030237157840738156,0.005768951613287327,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,1.3082173148590281e-14,0.0021428729787487362,0.4527162975889222,4.54,0.158,10.69093749999999,0.09784110964811912,0.004103569874424676,-0.002682409273470005,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,40.376544575567024,0.2199999936575706,-69.26750311959394,4.54,0.15799999999999997,11.928187500000003,0.29382907297548644,0.006984677106761226,0.00265937500043858,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,1.3461809391279896e-09,0.0019999993593682445,0.08433734904980328,4.54,0.15100000000000002,11.160062499999984,0.03481095862912847,0.00225198325291921,-0.0006570060469455755,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.08326327294726646,0.005151441273009005,0.6823497973492225,4.54,0.15500000000000003,10.302312500000003,0.09112716210696355,0.0028784916685156963,0.003089062499317262,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.588542596756998,0.0023947065376557566,0.12169730061075756,4.54,0.15400000000000003,10.633812500000007,0.029763325632441287,0.0014577379737113268,2.3588711594446974e-05,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.9339797816067524,0.00874576350145366,0.4655795627793886,4.54,0.15599999999999997,10.245999999999993,0.11205057332119393,0.004105745103771403,0.0013214717723126629,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,1.9923926467108222,0.0034772529415459793,0.023124109780297775,4.54,0.15300000000000002,10.93474999999999,0.06826893396837977,0.00269589635239509,0.0008423891100071397,40,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,15.566869401694959,0.14202511323719752,-19.451365358832785,4.05,0.062000000000000006,4.739187499999996,0.2825473615548404,0.005264435935053797,0.009799092741255675,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,27.818543978808385,0.23499999883151754,-50.072324821023095,4.05,0.05900000000000001,3.384875,0.39254260805084423,0.005625198409199195,0.007775252016839218,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
