baseline,,b0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,b4,,p4,,b5,,p5,,b6,,p6,,b7,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
783.989624,2.645626591E-005,783.989624,5.811788651E-005,783.989624,0.0155788837,783.989624,0.0002467892773,783.989624,0.01682139747,783.989624,0.001163786161,783.989624,0.01851839572,783.989624,0.0006254409673,783.989624,0.01169815566,783.989624,-0.0006721006939,783.989624,0.01106082369,783.989624,0.0008399571525,783.989624,0.01673882455,783.989624,0.0002418940712,783.989624,0.01473845262,783.989624,0.02062339336,783.989624,0.0009565036162,783.989624,0.01352756564,783.989624,-0.000234825784,783.989624,0.01113255136,783.989624,0.001714623999,783.989624,0.01502932236,
782.9846802,-0.0004746962222,782.9846802,0.0004420725163,782.9846802,0.01496211998,782.9846802,0.0005241446197,782.9846802,0.01742216386,782.9846802,0.0007133556646,782.9846802,0.0187091548,782.9846802,-0.000218991845,782.9846802,0.01104390901,782.9846802,-0.001135736005,782.9846802,0.01088839117,782.9846802,0.001972167054,782.9846802,0.017124651,782.9846802,0.00039232368,782.9846802,0.01508946065,782.9846802,0.02111855336,782.9846802,0.001173441648,782.9846802,0.01297352463,782.9846802,0.001038231887,782.9846802,0.01119100954,782.9846802,-0.0004440279154,782.9846802,0.01470543537,
782.0139771,0.001865538652,782.0139771,0.002127385465,782.0139771,0.01673847437,782.0139771,0.002285209484,782.0139771,0.02036819793,782.0139771,0.001093608327,782.0139771,0.0204539597,782.0139771,0.001538510551,782.0139771,0.01269906107,782.0139771,0.001246436033,782.0139771,0.01258984581,782.0139771,0.003030770225,782.0139771,0.01791220158,782.0139771,0.002411254914,782.0139771,0.01450060867,782.0139771,0.02345266938,782.0139771,0.003383707721,782.0139771,0.01444924995,782.0139771,0.001957085216,782.0139771,0.01116009243,782.0139771,0.00157012674,782.0139771,0.01661761478,
781.0083008,0.0002664742351,781.0083008,-0.001666649943,781.0083008,0.0138033554,781.0083008,0.0001148453375,781.0083008,0.01683996432,781.0083008,-0.0002571785881,781.0083008,0.01840219833,781.0083008,0.0007446784875,781.0083008,0.01012978703,781.0083008,0.001120702247,781.0083008,0.009886667132,781.0083008,0.0005091647035,781.0083008,0.01599137112,781.0083008,-0.001189383212,781.0083008,0.01375616714,781.0083008,0.01920673437,781.0083008,0.001232106239,781.0083008,0.01247695554,781.0083008,-0.0002012944024,781.0083008,0.01186234318,781.0083008,0.0002673548879,781.0083008,0.01541720144,
780.0021973,0.0008208167856,780.0021973,0.0006258557551,780.0021973,0.01626451127,780.0021973,0.0001952499733,780.0021973,0.01796923205,780.0021973,0.0005266586086,780.0021973,0.01782062836,780.0021973,0.001523313811,780.0021973,0.01108299661,780.0021973,-0.0001537354401,780.0021973,0.01144147851,780.0021973,0.00239615771,780.0021973,0.01708805934,780.0021973,0.002458788455,780.0021973,0.01610281505,780.0021973,0.02160848305,780.0021973,0.002003450878,780.0021973,0.01386615634,780.0021973,0.0004797247529,780.0021973,0.01172240824,780.0021973,0.0001231829083,780.0021973,0.01476113591,
778.9956665,-0.0007100925432,778.9956665,-0.0007404319476,778.9956665,0.01550939679,778.9956665,-5.301122656E-005,778.9956665,0.01710206084,778.9956665,-0.0001235620293,778.9956665,0.01723256148,778.9956665,1.985499148E-005,778.9956665,0.01198430732,778.9956665,0.000237361528,778.9956665,0.01077249274,778.9956665,0.001978537999,778.9956665,0.01779762283,778.9956665,0.001161657739,778.9956665,0.01513716858,778.9956665,0.0204333663,778.9956665,0.002030445496,778.9956665,0.01300281007,778.9956665,0.0009878699202,778.9956665,0.01227131393,778.9956665,0.001091817627,778.9956665,0.01640024409,
777.9887695,0.0002496901434,777.9887695,0.001817836077,777.9887695,0.01599209569,777.9887695,0.0004354130942,777.9887695,0.01857785694,777.9887695,0.001266633742,777.9887695,0.01992402598,777.9887695,0.001548226341,777.9887695,0.01311858464,777.9887695,-0.0007032697322,777.9887695,0.01107686199,777.9887695,0.002229446778,777.9887695,0.01667609066,777.9887695,0.0010682547,777.9887695,0.01512411516,777.9887695,0.0204160288,777.9887695,0.00348272454,777.9887695,0.01448125858,777.9887695,0.00025875555,777.9887695,0.01249896176,777.9887695,-0.0001145561837,777.9887695,0.0158184208,
777.0162354,0.0005443864502,777.0162354,-4.669577538E-005,777.0162354,0.01515507419,777.0162354,1.154529491E-005,777.0162354,0.01767617278,777.0162354,-0.0005695835571,777.0162354,0.01988269761,777.0162354,0.001668964862,777.0162354,0.0125167314,777.0162354,1.087224246E-005,777.0162354,0.01144852117,777.0162354,0.001620738185,777.0162354,0.01793011278,777.0162354,0.001029721112,777.0162354,0.01610031724,777.0162354,0.02025836706,777.0162354,0.002917157952,777.0162354,0.01294178702,777.0162354,0.001943511888,777.0162354,0.0118763363,777.0162354,0.001671849284,777.0162354,0.01491231378,
776.0085449,-0.0002973279625,776.0085449,0.0004145285639,776.0085449,0.01550676767,776.0085449,0.0004590454337,776.0085449,0.01919480413,776.0085449,0.0001296303817,776.0085449,0.01885252073,776.0085449,0.0001534532348,776.0085449,0.01091329008,776.0085449,-1.201092346E-005,776.0085449,0.01222303975,776.0085449,0.001915976522,776.0085449,0.01718524285,776.0085449,0.0003056137066,776.0085449,0.01458267774,776.0085449,0.0200408753,776.0085449,0.001682997332,776.0085449,0.014077208,776.0085449,-0.0003541826736,776.0085449,0.01288039982,776.0085449,0.0009258140926,776.0085449,0.01664991863,
775.0004883,-0.0009931952227,775.0004883,-0.0007284411695,775.0004883,0.01596709341,775.0004883,-0.0002788059064,775.0004883,0.01798172295,775.0004883,0.0006220968789,775.0004883,0.01728015579,775.0004883,0.0005137260305,775.0004883,0.01141256373,775.0004883,0.0001307697094,775.0004883,0.01169714518,775.0004883,0.001936491346,775.0004883,0.01741631515,775.0004883,0.0005624519545,775.0004883,0.01455727406,775.0004883,0.0196957849,775.0004883,0.0009673738969,775.0004883,0.01348732319,775.0004883,-0.001111466088,775.0004883,0.01105503459,775.0004883,6.373593351E-005,775.0004883,0.01531864423,
