baseline,,bm3WT_HemePM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
703.9684448,-0.0007330927765,703.9684448,0.003178518498,
702.9627075,-0.0005777010228,702.9627075,0.003256310476,
701.956665,0.000197011017,701.956665,0.004506072495,
700.9503174,-0.0006279018708,700.9503174,0.003876615316,
699.9436035,-0.0001342238829,699.9436035,0.004130165093,
698.9365845,0.0003192654403,698.9365845,0.004323097877,
697.9292603,-0.0004722655867,697.9292603,0.003633080516,
697.0655518,-0.0004875731538,697.0655518,0.004327072296,
696.0575562,0.0007276684628,696.0575562,0.003803360276,
695.0492554,-5.715245788E-5,695.0492554,0.003918092698,
694.0406494,-0.0002069348993,694.0406494,0.004398898687,
693.0316772,-0.0002761154901,693.0316772,0.004831181839,
692.0223999,7.603374252E-5,692.0223999,0.005286901724,
691.0128174,0.0003780219413,691.0128174,0.004756588023,
