baseline,,bm3heme5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
730.9953613,-0.0003421294678,730.9953613,0.008053906262,
729.9987793,0.0005342006334,729.9987793,0.008287506178,
729.0018921,0.0006412026123,729.0018921,0.009205474518,
728.0046387,0.0009538833983,728.0046387,0.008297215216,
727.007019,-0.000328161841,727.007019,0.008146291599,
726.0090942,-0.0004547853605,726.0090942,0.007771754172,
725.0108032,-0.0008499359828,725.0108032,0.009301702492,
724.012146,-0.0001681744616,724.012146,0.008797531016,
723.0131836,0.001237869263,723.0131836,0.009393746033,
722.013855,0.0002615529229,722.013855,0.008672285825,
721.0142212,0.002003918868,721.0142212,0.008749800734,
720.0142212,-0.0001967923163,720.0142212,0.009075671434,
719.013916,-0.0004172366462,719.013916,0.008643422276,
718.0131836,1.141586199E-5,718.0131836,0.008992813528,
717.012207,0.0005780039355,717.012207,0.008841436356,
716.0108643,0.0002339945204,716.0108643,0.008891738951,
715.0091553,0.0007633228088,715.0091553,0.009982569143,
714.0071411,-0.0001176099104,714.0071411,0.009171552956,
713.0047607,0.0001750502997,713.0047607,0.009487872012,
712.0020752,0.0002024754649,712.0020752,0.008933275938,
710.9990234,-0.0002520044218,710.9990234,0.01000995841,
709.9956665,0.0003029973886,709.9956665,0.01024864148,
708.9919434,-0.0003292482288,708.9919434,0.009056534618,
707.987915,0.001355379471,707.987915,0.01010451,
706.9835815,0.0002398738434,706.9835815,0.008511041291,
705.9788208,0.0005799220526,705.9788208,0.009470489807,
704.9738159,0.0004473327426,704.9738159,0.009125314653,
703.9684448,-3.758479943E-5,703.9684448,0.009342722595,
702.9627075,-0.0001978272776,702.9627075,0.009155161679,
701.956665,0.0001311840169,701.956665,0.009321590886,
700.9503174,-0.000504483236,700.9503174,0.009236622602,
699.9436035,0.0002225728094,699.9436035,0.009557911195,
698.9365845,0.0004532149469,698.9365845,0.00948430039,
697.9292603,-0.0006045341142,697.9292603,0.009183027782,
697.0655518,0.0004506236583,697.0655518,0.009117463604,
696.0575562,0.0002267944074,696.0575562,0.009133192711,
695.0492554,-0.0004458380863,695.0492554,0.009240404703,
694.0406494,0.0007602110272,694.0406494,0.009893790819,
693.0316772,-0.0003119174216,693.0316772,0.009655752219,
692.0223999,-0.0001004259466,692.0223999,0.009906793945,
691.0128174,0.0004655238008,691.0128174,0.009775139391,
690.0028687,0.0001840623445,690.0028687,0.009155082516,
688.9926147,-0.0003425433242,688.9926147,0.009253996424,
687.9819946,9.866263281E-5,687.9819946,0.009727380238,
686.9711304,0.0001765781926,686.9711304,0.009994064458,
685.9598389,-2.14330521E-5,685.9598389,0.009917016141,
684.9483032,-0.0001027033795,684.9483032,0.009776436724,
683.9364624,-0.001394771854,683.9364624,0.008644452319,
683.0688477,0.0007275128737,683.0688477,0.01015686803,
682.0563965,0.0005480668624,682.0563965,0.01079953369,
681.0435791,-0.0004873145954,681.0435791,0.009228848852,
680.0304565,0.0002033300989,680.0304565,0.01045536995,
679.0170288,-0.0001733496174,679.0170288,0.009755918756,
678.0032349,-9.768265591E-5,678.0032349,0.009545315988,
676.9891357,0.000229436162,676.9891357,0.01022696216,
675.9747314,-0.0007595028146,675.9747314,0.009786470793,
674.960022,-0.0004070989671,674.960022,0.0105064176,
673.9450073,-6.295011553E-5,673.9450073,0.01050456148,
672.9296265,0.0005059770192,672.9296265,0.01039332524,
672.059082,-0.000726787257,672.059082,0.01114899106,
671.0431519,0.0001539970399,671.0431519,0.011030633,
670.0268555,-0.0001642412972,670.0268555,0.01020258013,
669.0103149,0.0005229006056,669.0103149,0.01178804785,
667.9934082,-0.0001317913557,667.9934082,0.01051882934,
666.9761963,-0.0009020169382,666.9761963,0.009917439893,
665.9586792,-0.000446820748,665.9586792,0.01050790306,
664.9407959,-0.0006992897252,664.9407959,0.01065025851,
664.0681152,0.0009712654864,664.0681152,0.01038264018,
663.0497437,-6.057274277E-6,663.0497437,0.01143991016,
662.0310059,-0.0002724420046,662.0310059,0.01103634201,
661.0119629,-0.0004328047507,661.0119629,0.01069217548,
659.9925537,0.0003697831125,659.9925537,0.01095693186,
658.9729004,0.0006303404807,658.9729004,0.01019531861,
657.9529419,-0.0003620972566,657.9529419,0.01042206585,
656.9326172,0.0005210863892,656.9326172,0.01157885045,
656.0578613,-0.000324385328,656.0578613,0.01090768911,
655.0369873,0.0008341216017,655.0369873,0.01119177975,
654.0158081,-0.0006969120586,654.0158081,0.01027186029,
652.9943237,0.0003398344852,652.9943237,0.01171586663,
651.9725342,0.0005357816117,651.9725342,0.01209499314,
