ligand,km,vmax,rsq,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,experiment_number,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk
,,,,,0.22800000000000004,"[235.0155 233.7215 242.346  285.0075 252.7455 288.2465 234.8085 235.5715
 233.424  238.6815 258.7895 241.4065 303.5185 266.468  234.806  236.301 ]",0.08765457309626105,0.0538819697734471,,0.01,0,0,0,150,0,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.134,"[231.5435 232.2745 238.8735 248.1155 258.7285 266.4415 232.2225 235.122
 236.512  235.136  261.1715 240.095  250.9395 239.394  233.4815 232.174 ]",0.04591277377813624,0.024026287686615258,,0.01,0,0,150,150,150,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.17700000000000002,"[228.926  234.8435 237.076  237.0565 234.7065 284.483  232.026  237.142
 235.2785 234.7025 282.2495 238.139  240.8085 251.808  231.9805 230.816 ]",0.06780722169417688,0.037967914085448515,,0.01,0,150,0,0,150,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.16599999999999998,"[230.894  232.8095 242.342  238.1465 264.3185 246.2775 236.728  234.127
 235.603  234.708  278.182  238.2035 267.0395 247.267  237.278  234.0885]",0.05567757363264831,0.0307922474009287,,0.01,0,150,150,0,0,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.16599999999999998,"[234.6735 234.9765 240.6635 235.589  252.127  253.2105 237.352  239.9675
 235.0575 233.923  274.54   238.8885 267.4325 241.424  235.7905 231.1885]",0.05010807758276332,0.02702275275886353,,0.01,4,0,0,0,150,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.15100000000000002,"[236.8445 237.4115 233.8675 235.568  242.015  255.306  243.7385 240.3095
 238.001  236.065  269.815  240.173  267.546  232.3625 235.208  231.765 ]",0.04685824820444375,0.02306286697991673,,0.01,4,0,150,0,0,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.10400000000000001,"[232.9685 233.8995 236.5145 237.291  245.1055 245.4215 236.875  233.626
 237.427  237.1395 244.7885 234.6255 247.308  235.992  239.0775 234.967 ]",0.01902186423782587,0.00973289097168291,,0.01,4,150,0,150,0,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.10700000000000001,"[233.55   233.794  234.7    236.2085 242.3065 237.7735 236.6545 236.6425
 237.3325 235.146  244.022  235.95   242.556  232.955  232.666  227.901 ]",0.01676778439302464,0.0071574553206196585,,0.01,4,150,150,150,150,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.42200000000000004,"[290.346  328.875  299.853  304.146  305.996  376.588  276.0385 291.424
 282.1755 325.361  279.1645 297.138  227.541  222.7535 298.3935 282.728 ]",0.11955718455923574,0.09781817741776493,,0.0,0,0,0,0,0,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.36700000000000005,"[268.325  269.6285 317.0395 311.409  311.191  325.852  319.943  319.8885
 315.259  356.745  275.8225 265.987  224.1615 226.7515 261.8445 310.2345]",0.12357820614709676,0.09900336694611284,,0.0,0,0,150,0,150,150,150,0.0,False,17,0,2,3700,30,Manual
