baseline#],,bm3,,dmso_1,,dmso_2,,arachadonicAcid_0.5,,arachadoinicAcid_1.0.,,arachadoinicAcid_1.5,,arachadoinicAcid_2.0,,arachadoinicAcid_2.5,,arachadoinicAcid_3.0,,arachadoinicAcid_4.0,,arachadoinicAcid_5.0,,arachadoinicAcid_6.0,,arachadoinicAcid_7.0,,arachadoinicAcid_8.0,,arachadoinicAcid_9.0,,arachadoinicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
779.9835205,-0.0007723713643,779.9835205,0.003758917097,779.9835205,0.000115673909,779.9835205,0.0008425507694,779.9835205,0.0008929478354,779.9835205,0.004175796174,779.9835205,0.004515462555,779.9835205,0.007058585063,779.9835205,0.004831417464,779.9835205,0.01095841825,779.9835205,0.004164740909,779.9835205,0.008826298639,779.9835205,0.00818332471,779.9835205,0.007552628405,779.9835205,0.006930210628,779.9835205,0.007487968076,779.9835205,0.01252387185,
779.0116577,-0.004224632401,779.0116577,0.0009911909001,779.0116577,0.0009145557415,779.0116577,0.001787267509,779.0116577,0.003056916408,779.0116577,0.002150719753,779.0116577,0.003551854054,779.0116577,0.005471645854,779.0116577,0.004033796024,779.0116577,0.01339934766,779.0116577,0.005841213278,779.0116577,0.006662035827,779.0116577,0.00772065809,779.0116577,0.007554919925,779.0116577,0.004605999682,779.0116577,0.007943216711,779.0116577,0.01181033812,
778.0045776,0.001542277285,778.0045776,0.006872533355,778.0045776,0.001480064355,778.0045776,0.005217311904,778.0045776,0.004464460537,778.0045776,0.007263379171,778.0045776,0.006924923975,778.0045776,0.007771174423,778.0045776,0.009423716925,778.0045776,0.01309297327,778.0045776,0.009607583284,778.0045776,0.01139534358,778.0045776,0.009483506903,778.0045776,0.01121690776,778.0045776,0.01048398204,778.0045776,0.01229016669,778.0045776,0.01602303609,
776.9971313,0.0005622964818,776.9971313,0.004352459684,776.9971313,0.002779736882,776.9971313,0.005335038994,776.9971313,0.004796867259,776.9971313,0.005776308943,776.9971313,0.006996681914,776.9971313,0.005576620344,776.9971313,0.009335105307,776.9971313,0.01494478434,776.9971313,0.007936309092,776.9971313,0.01064015087,776.9971313,0.0114657972,776.9971313,0.0105980793,776.9971313,0.00941649545,776.9971313,0.01305175759,776.9971313,0.01307547279,
775.9893799,-0.0008562914445,775.9893799,0.0004440418561,775.9893799,0.001572620706,775.9893799,0.0014609996,775.9893799,0.006080083083,775.9893799,0.003504305147,775.9893799,0.005488160998,775.9893799,0.003414023435,775.9893799,0.005673017353,775.9893799,0.0116538275,775.9893799,0.006286963355,775.9893799,0.007638979703,775.9893799,0.007831290364,775.9893799,0.004545648582,775.9893799,0.003681687638,775.9893799,0.008901700377,775.9893799,0.01002227608,
775.0159302,0.001942861825,775.0159302,0.002879788866,775.0159302,0.005024164915,775.0159302,0.005037991796,775.0159302,0.005536924116,775.0159302,0.005933313165,775.0159302,0.005977952853,775.0159302,0.006224986166,775.0159302,0.005952417385,775.0159302,0.01427193638,775.0159302,0.00745117804,775.0159302,0.01101587061,775.0159302,0.008387277834,775.0159302,0.01268655993,775.0159302,0.01064614672,775.0159302,0.01239499077,775.0159302,0.01243174914,
774.0072632,-0.00137619325,774.0072632,0.00174230244,774.0072632,0.001262661652,774.0072632,0.004324065521,774.0072632,0.004302077927,774.0072632,0.004987268709,774.0072632,0.004539998248,774.0072632,0.004024520982,774.0072632,0.0046101599,774.0072632,0.01426083501,774.0072632,0.004653434269,774.0072632,0.008090456948,774.0072632,0.007685797755,774.0072632,0.005658173468,774.0072632,0.00819672551,774.0072632,0.007663376164,774.0072632,0.01393586304,
772.9983521,0.001067657839,772.9983521,0.004007303622,772.9983521,0.003281557467,772.9983521,0.002354356926,772.9983521,0.003527426627,772.9983521,0.004544183612,772.9983521,0.004868169781,772.9983521,0.004979779944,772.9983521,0.002913587727,772.9983521,0.01157377288,772.9983521,0.005898832344,772.9983521,0.008047814481,772.9983521,0.007856224664,772.9983521,0.009824756533,772.9983521,0.009216527455,772.9983521,0.009483003989,772.9983521,0.01310220361,
771.9889526,-0.0015519351,771.9889526,0.003775680671,771.9889526,0.001324687619,771.9889526,0.002550850622,771.9889526,0.004081873689,771.9889526,0.003602670971,771.9889526,0.004297868814,771.9889526,0.002748553641,771.9889526,0.003725574585,771.9889526,0.01103809383,771.9889526,0.004028544761,771.9889526,0.008701731451,771.9889526,0.007177391555,771.9889526,0.0092270514,771.9889526,0.006746974774,771.9889526,0.009341982193,771.9889526,0.01005499251,
771.0140381,-0.002046787646,771.0140381,0.0010590686,771.0140381,0.001692092628,771.0140381,0.003013253445,771.0140381,0.002759025898,771.0140381,0.0008656346472,771.0140381,0.003558039665,771.0140381,0.004013208207,771.0140381,0.00547754392,771.0140381,0.01131026074,771.0140381,0.003911144566,771.0140381,0.006344195455,771.0140381,0.006867168471,771.0140381,0.009398374707,771.0140381,0.006026508287,771.0140381,0.008225400932,771.0140381,0.009236359037,
