blank,,0,,DMSO_1,,DMSO_2,,ArachadionicAcid_1,,ArachadionicAcid_2,,ArachadionicAcid_3,,ArachadionicAcid_4,,ArachadionicAcid_5,,ArachadionicAcid_6,,ArachadionicAcid_7,,ArachadionicAcid_8,,ArachadionicAcid_9,,ArachadionicAcid_10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
776.9986572,0.0009852495277,776.9986572,0.001800550031,776.9986572,0.001381736598,776.9986572,0.001680164714,776.9986572,0.003338029142,776.9986572,0.001695860759,776.9986572,0.006561266724,776.9986572,0.003254041309,776.9986572,0.007923128083,776.9986572,0.007732252125,776.9986572,0.00407327665,776.9986572,0.003359419992,776.9986572,0.003900879761,776.9986572,0.005329797976,
775.9909058,-0.0004322358291,775.9909058,0.001098954352,775.9909058,0.00214697374,775.9909058,3.142670175E-005,775.9909058,0.003950953484,775.9909058,0.003325429978,775.9909058,0.008159901947,775.9909058,0.003538283054,775.9909058,0.00532730855,775.9909058,0.008032388054,775.9909058,0.004146786407,775.9909058,0.003896570066,775.9909058,0.009207934141,775.9909058,0.007038747892,
774.982666,-0.0003811847419,774.982666,0.001974793617,774.982666,0.001688610413,774.982666,0.004023502115,774.982666,0.004475418944,774.982666,0.004484808538,774.982666,0.004435300361,774.982666,0.002405944746,774.982666,0.004390583374,774.982666,0.007951468229,774.982666,0.001881423406,774.982666,0.001715949387,774.982666,0.007074213587,774.982666,0.005877630785,
774.0089111,-0.0007608465385,774.0089111,0.001695289044,774.0089111,0.001907006488,774.0089111,0.00474591041,774.0089111,0.003691895399,774.0089111,0.00442366302,774.0089111,0.005890461616,774.0089111,0.004123762716,774.0089111,0.005306947511,774.0089111,0.009344917722,774.0089111,0.00369659462,774.0089111,0.00773475552,774.0089111,0.007607182022,774.0089111,0.008253655396,
772.9998779,-0.000424167345,772.9998779,0.00186655263,772.9998779,0.002817331813,772.9998779,0.002330959542,772.9998779,0.00409812713,772.9998779,0.002158966381,772.9998779,0.005021807738,772.9998779,0.007321582176,772.9998779,0.008946408518,772.9998779,0.009340738878,772.9998779,0.00438514445,772.9998779,0.002943166997,772.9998779,0.006289432291,772.9998779,0.006668239366,
771.9904785,0.0004649018811,771.9904785,0.001304487349,771.9904785,0.00267184223,771.9904785,0.006999970414,771.9904785,0.005357052665,771.9904785,0.004326941445,771.9904785,0.007395880297,771.9904785,0.003255841089,771.9904785,0.005095006898,771.9904785,0.009268539958,771.9904785,0.004719557706,771.9904785,0.006038188934,771.9904785,0.004664345179,771.9904785,0.005519227125,
771.015625,0.000529535464,771.015625,0.002179102506,771.015625,0.002151136054,771.015625,0.002817618428,771.015625,0.003322665114,771.015625,0.005523841362,771.015625,0.004825659096,771.015625,0.004163852427,771.015625,0.006562659517,771.015625,0.009157937951,771.015625,0.00442243414,771.015625,0.006293634418,771.015625,0.009073001333,771.015625,0.006219681818,
770.0054932,-0.0006873495295,770.0054932,0.00105639582,770.0054932,0.002796801506,770.0054932,0.001642044517,770.0054932,0.003425033763,770.0054932,0.001462324173,770.0054932,0.00386885833,770.0054932,0.002469331957,770.0054932,0.004755855538,770.0054932,0.009479855187,770.0054932,0.003304171376,770.0054932,0.005614588968,770.0054932,0.005256664474,770.0054932,0.007357466035,
768.9949341,-0.0007477710024,768.9949341,0.001666522119,768.9949341,0.001908384496,768.9949341,4.664902008E-005,768.9949341,0.004668086767,768.9949341,0.004449187312,768.9949341,0.004670781549,768.9949341,0.005813324824,768.9949341,0.001705450239,768.9949341,0.008979519829,768.9949341,0.005177963059,768.9949341,0.004620493855,768.9949341,0.005341669079,768.9949341,0.006135476287,
767.9840088,0.0001462026703,767.9840088,0.001989719924,767.9840088,0.001858649426,767.9840088,0.002301057568,767.9840088,0.005160490517,767.9840088,0.003916159738,767.9840088,0.006780471187,767.9840088,0.003739778185,767.9840088,0.006565681659,767.9840088,0.008985809982,767.9840088,0.006054515485,767.9840088,0.006367678754,767.9840088,0.005439586937,767.9840088,0.00519368099,
