baseline,,bm3,,dmsio_1,,dmsio_2,,arachadionicAcid_0.5,,arachadionicAcid_1.0,,arachadionicAcid_1.5,,arachadionicAcid_2.0,,arachadionicAcid_3.0,,arachadionicAcid_4.0,,arachadionicAcid_5.0,,arachadionicAcid_6.0,,arachadionicAcid_7.0,,arachadionicAcid_8.0,,arachadionicAcid_9.0,,arachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
779.0116577,0.000390354573,779.0116577,0.00293917954,779.0116577,0.01093580015,779.0116577,0.0033742378,779.0116577,0.004614240956,779.0116577,0.003333020722,779.0116577,0.004621958826,779.0116577,0.007325688843,779.0116577,0.005737748928,779.0116577,0.008835333399,779.0116577,0.009973403998,779.0116577,0.008294286206,779.0116577,0.01114970818,779.0116577,0.008679283783,779.0116577,0.007991201244,779.0116577,0.01549211983,
778.0045776,-0.0008218262228,778.0045776,0.001980774337,778.0045776,0.01018371154,778.0045776,0.004619185813,778.0045776,0.001633028151,778.0045776,0.007320055272,778.0045776,0.004236488603,778.0045776,0.005888467655,778.0045776,0.006622266956,778.0045776,0.007977069356,778.0045776,0.007940764539,778.0045776,0.008425334468,778.0045776,0.01053681038,778.0045776,0.00924939476,778.0045776,0.009147415869,778.0045776,0.007577863056,
776.9971313,0.0006546315271,776.9971313,0.001402589842,776.9971313,0.01000140235,776.9971313,0.002000772161,776.9971313,0.001176893828,776.9971313,0.003049747553,776.9971313,0.004251519218,776.9971313,0.003638614435,776.9971313,0.005162769463,776.9971313,0.009259416722,776.9971313,0.008997887373,776.9971313,0.00704814028,776.9971313,0.007564139087,776.9971313,0.008308086544,776.9971313,0.008094069548,776.9971313,0.00698442338,
775.9893799,0.0004988501314,775.9893799,0.004103144165,775.9893799,0.01276250184,775.9893799,0.005332444794,775.9893799,0.005280586425,775.9893799,0.003812656971,775.9893799,0.004904715344,775.9893799,0.003445489565,775.9893799,0.007403911557,775.9893799,0.01001480594,775.9893799,0.01196929906,775.9893799,0.009320955724,775.9893799,0.01248606667,775.9893799,0.01015994139,775.9893799,0.01065596193,775.9893799,0.01169129461,
775.0159302,-0.004968344234,775.0159302,-0.0006149256951,775.0159302,0.007080054842,775.0159302,4.012510544E-005,775.0159302,-0.0002066244051,775.0159302,0.001104897237,775.0159302,-0.0009201508365,775.0159302,0.0003635393223,775.0159302,0.002368125133,775.0159302,0.005204710644,775.0159302,0.006966009736,775.0159302,0.003597633447,775.0159302,0.005182887893,775.0159302,0.005019267555,775.0159302,0.006886577234,775.0159302,0.004739446566,
774.0072632,0.0005496478989,774.0072632,0.003713408019,774.0072632,0.01100126747,774.0072632,0.002667101799,774.0072632,0.0001162176632,774.0072632,0.003809418762,774.0072632,0.0009175389423,774.0072632,0.005519672763,774.0072632,0.004121750128,774.0072632,0.008451094851,774.0072632,0.01089473534,774.0072632,0.007230398245,774.0072632,0.009567861445,774.0072632,0.006800769828,774.0072632,0.005830456503,774.0072632,0.009300274774,
772.9983521,-6.408892659E-005,772.9983521,0.002679577796,772.9983521,0.01060115639,772.9983521,0.003746357979,772.9983521,0.005277180113,772.9983521,0.003866089974,772.9983521,0.003966209479,772.9983521,0.004539448768,772.9983521,0.00534641277,772.9983521,0.01021418814,772.9983521,0.009495782666,772.9983521,0.008358406834,772.9983521,0.008300988935,772.9983521,0.009292287752,772.9983521,0.01092587225,772.9983521,0.007604995742,
771.9889526,0.001960439608,771.9889526,0.003461380024,771.9889526,0.01087464206,771.9889526,0.00478438288,771.9889526,0.003626371967,771.9889526,0.003106059041,771.9889526,0.004100139253,771.9889526,0.005185979418,771.9889526,0.004851992242,771.9889526,0.008563313633,771.9889526,0.008925824426,771.9889526,0.01133356243,771.9889526,0.01065004617,771.9889526,0.008679970168,771.9889526,0.01111523528,771.9889526,0.01015172713,
771.0140381,-0.002345035318,771.0140381,-0.0002398449142,771.0140381,0.007770331111,771.0140381,0.002650276991,771.0140381,0.002731465036,771.0140381,0.004112604074,771.0140381,0.002298429143,771.0140381,0.001869594329,771.0140381,0.004447408952,771.0140381,0.008133920841,771.0140381,0.008382026106,771.0140381,0.004245559219,771.0140381,0.006948885974,771.0140381,0.007014333736,771.0140381,0.006944940425,771.0140381,0.008485066704,
770.0038452,0.002332260832,770.0038452,0.00398290297,770.0038452,0.007944218814,770.0038452,0.003610710381,770.0038452,0.003170643467,770.0038452,0.002102517756,770.0038452,0.007416734938,770.0038452,0.006187725347,770.0038452,0.002604180714,770.0038452,0.006534671877,770.0038452,0.008126746863,770.0038452,0.006197939627,770.0038452,0.007125418168,770.0038452,0.007985611446,770.0038452,0.007439564914,770.0038452,0.01074839849,
