baseline,,bm3,,dmos_1,,arachadonicacid_0.5,,arachadonicacid_0.5,,arachadonicacid_1.0,,arachadonicacid_1.5,,arachadonicacid_2.0,,arachadonicacid_2.5,,arachadonicacid_3.0,,arachadonicacid_3.5,,arachadonicacid_4.0,,arachadonicacid_5.0,,arachadonicacid_6.0,,arachadonicacid_7.0,,arachadonicacid_8.0,,arachadonicacid_9.0,,arachadonicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
771.9904785,0.0007145483978,771.9904785,0.0022215629,771.9904785,0.003795682918,771.9904785,0.005674145184,771.9889526,0.003954167012,771.9889526,0.005092256702,771.9889526,0.006826960016,771.9889526,0.005704070441,771.9889526,0.01018010732,771.9889526,0.007471797988,771.9889526,0.007585027721,771.9889526,0.006682960317,771.9889526,0.008535618894,771.9889526,0.01120965648,771.9889526,0.008272467181,771.9889526,0.0124497572,771.9889526,0.009386789054,771.9889526,0.01437552832
771.015625,-0.003355595749,771.015625,0.002129830653,771.015625,0.0061082514,771.015625,0.003379898844,771.0140381,0.001921306713,771.0140381,0.003010750981,771.0140381,0.005071225576,771.0140381,0.00373667106,771.0140381,0.003685211996,771.0140381,0.005647394806,771.0140381,0.008458960801,771.0140381,0.006588230841,771.0140381,0.008419422433,771.0140381,0.009812179953,771.0140381,0.007234266959,771.0140381,0.01151494402,771.0140381,0.01285786834,771.0140381,0.01325112395
770.0054932,0.002566864714,770.0054932,0.006003043614,770.0054932,0.006837373599,770.0054932,0.005600035656,770.0038452,0.005638347473,770.0038452,0.007773388177,770.0038452,0.007894472219,770.0038452,0.007410731167,770.0038452,0.008925031871,770.0038452,0.006210491061,770.0038452,0.008626866154,770.0038452,0.009023602121,770.0038452,0.009448716417,770.0038452,0.01336723194,770.0038452,0.01072305907,770.0038452,0.01345031522,770.0038452,0.01321173459,770.0038452,0.01330557093
768.9949341,0.0006562129711,768.9949341,0.00371291209,768.9949341,0.00505789509,768.9949341,0.007456365973,768.9934082,0.005242856685,768.9934082,0.006705725566,768.9934082,0.008447321132,768.9934082,0.006050315686,768.9934082,0.006133796182,768.9934082,0.008681185544,768.9934082,0.008721935563,768.9934082,0.01132814214,768.9934082,0.009956055321,768.9934082,0.01114609558,768.9934082,0.007435773034,768.9934082,0.01162814256,768.9934082,0.01346427947,768.9934082,0.01298179198
767.9840088,-0.001457881299,767.9840088,0.001436040038,767.9840088,0.0006300034584,767.9840088,0.003218338359,768.0172729,0.003133278806,768.0172729,0.004642392509,768.0172729,0.005131335929,768.0172729,0.004119215533,768.0172729,0.006044567097,768.0172729,0.00525205303,768.0172729,0.006085622124,768.0172729,0.006698259618,768.0172729,0.007932196371,768.0172729,0.01064943615,768.0172729,0.008841646835,768.0172729,0.01041191071,768.0172729,0.0113362195,768.0172729,0.01265681628
767.0076294,0.002233766019,767.0076294,0.006060264073,767.0076294,0.003206577152,767.0076294,0.006620558444,767.0059814,0.006262722891,767.0059814,0.007906071842,767.0059814,0.007246164139,767.0059814,0.007164101582,767.0059814,0.007243690081,767.0059814,0.006186911371,767.0059814,0.009826371446,767.0059814,0.009780275635,767.0059814,0.0104290396,767.0059814,0.01058423333,767.0059814,0.01135784853,767.0059814,0.01383854914,767.0059814,0.01062630396,767.0059814,0.01346451975
765.9959717,0.0009038684075,765.9959717,0.00515493704,765.9959717,0.006041574758,765.9959717,0.005372331943,765.9943237,0.006299675442,765.9943237,0.007717258763,765.9943237,0.008158345707,765.9943237,0.009544257075,765.9943237,0.009011154063,765.9943237,0.009743740782,765.9943237,0.008805587888,765.9943237,0.01023114938,765.9943237,0.01114641502,765.9943237,0.011195153,765.9943237,0.0134735452,765.9943237,0.01345410664,765.9943237,0.01436819695,765.9943237,0.01668604277
764.9838867,0.0009298868827,764.9838867,0.004921759013,764.9838867,0.004847830161,764.9838867,0.006937470287,765.0171509,0.005776413716,765.0171509,0.007896555588,765.0171509,0.009726691991,765.0171509,0.006400252692,765.0171509,0.009184163995,765.0171509,0.008398784325,765.0171509,0.008268482983,765.0171509,0.01112891268,765.0171509,0.01033399347,765.0171509,0.01357229892,765.0171509,0.01161333267,765.0171509,0.01306728274,765.0171509,0.01466433331,765.0171509,0.01483532507
764.0063477,0.002490940271,764.0063477,0.005601792596,764.0063477,0.006472659297,764.0063477,0.006933104247,764.0046997,0.006223410834,764.0046997,0.007772570942,764.0046997,0.008494701236,764.0046997,0.006991157774,764.0046997,0.009015356191,764.0046997,0.01037031226,764.0046997,0.009789250791,764.0046997,0.009887858294,764.0046997,0.01193891279,764.0046997,0.009686059318,764.0046997,0.01140153501,764.0046997,0.01382497419,764.0046997,0.01472642925,764.0046997,0.01519380976
762.9934692,-0.0007343849284,762.9934692,0.003474713769,762.9934692,0.00564222876,762.9934692,0.00466308929,762.9918823,0.003186028451,762.9918823,0.004401252139,762.9918823,0.004431037698,762.9918823,0.005363499746,762.9918823,0.003867212916,762.9918823,0.006899753585,762.9918823,0.006066406611,762.9918823,0.008594230749,762.9918823,0.008068726398,762.9918823,0.01184752584,762.9918823,0.01004272699,762.9918823,0.01124302018,762.9918823,0.01087713707,762.9918823,0.01284029707
