baseline,,BM3,,dmsO1,,dmsO2,,arachadonuicacid_0.5,,arachadonuicacid_1.0,,arachadonuicacid_1.5,,arachadonuicacid_2.0,,arachadonuicacid_2.5,,arachadonuicacid_3.0,,arachadonuicacid_3.5,,arachadonuicacid_4.0,,arachadonuicacid_5.0,,arachadonuicacid_6.0,,arachadonuicacid_7.0,,arachadonuicacid_8.0,,arachadonuicacid_9.0,,arachadonuicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
764.9838867,0.001551083988,764.9838867,0.004003985785,764.9838867,0.003934444394,764.9838867,0.006358248182,764.9838867,0.005240079481,764.9838867,0.007912108675,764.9838867,0.006230159663,764.9838867,0.0125863282,764.9838867,0.006305479445,764.9838867,0.007263062987,764.9838867,0.01087615546,764.9838867,0.006215165369,764.9838867,0.008302571252,764.9838867,0.008353947662,764.9838867,0.009651835077,764.9838867,0.01119549852,764.9838867,0.01135139167,764.9838867,0.01220943499,
764.0063477,-0.001207143767,764.0063477,0.002336346777,764.0063477,0.003323447658,764.0063477,0.003452560632,764.0063477,0.003333072877,764.0063477,0.004562939517,764.0063477,0.00746676838,764.0063477,0.009888070635,764.0063477,0.005362477619,764.0063477,0.004619578365,764.0063477,0.006840792019,764.0063477,0.007749275304,764.0063477,0.008122105151,764.0063477,0.008135530166,764.0063477,0.008732711896,764.0063477,0.009896174073,764.0063477,0.01149309427,764.0063477,0.01123999152,
762.9934692,-0.0007707692566,762.9934692,0.002995659132,762.9934692,0.003346533282,762.9934692,0.004254185595,762.9934692,0.004263439216,762.9934692,0.006583237089,762.9934692,0.005594791379,762.9934692,0.01023748331,762.9934692,0.008516716771,762.9934692,0.005999343004,762.9934692,0.008054986596,762.9934692,0.007771832868,762.9934692,0.007523839828,762.9934692,0.01056012325,762.9934692,0.01019823365,762.9934692,0.01061815955,762.9934692,0.01091958117,762.9934692,0.01387024578,
762.0152588,-0.0002426907886,762.0152588,0.00363509031,762.0152588,0.007138285786,762.0152588,0.00636985898,762.0152588,0.00486858841,762.0152588,0.007746613584,762.0152588,0.006083705928,762.0152588,0.01109229121,762.0152588,0.007239452563,762.0152588,0.007789358497,762.0152588,0.01128720026,762.0152588,0.008982506581,762.0152588,0.007864132524,762.0152588,0.01132099517,762.0152588,0.008696740493,762.0152588,0.01204807032,762.0152588,0.01088897511,762.0152588,0.01155540254,
761.001709,0.001467129332,761.001709,0.003226996632,761.001709,0.005325342994,761.001709,0.007578073535,761.001709,0.004694750533,761.001709,0.009835480712,761.001709,0.009736672044,761.001709,0.01008161809,761.001709,0.008767814375,761.001709,0.008649390191,761.001709,0.01148070768,761.001709,0.005869077053,761.001709,0.008842043579,761.001709,0.01283488423,761.001709,0.01167002134,761.001709,0.01075490005,761.001709,0.01227048784,761.001709,0.01204838976,
759.9877319,-0.002386588138,759.9877319,0.00172993145,759.9877319,0.001132251462,759.9877319,0.00440763263,759.9877319,0.002153321169,759.9877319,0.005095085595,759.9877319,0.006730621681,759.9877319,0.008276186883,759.9877319,0.006434510462,759.9877319,0.00482233474,759.9877319,0.005685134325,759.9877319,0.004487109836,759.9877319,0.006337392144,759.9877319,0.007808202412,759.9877319,0.01024625637,759.9877319,0.01257985365,759.9877319,0.009215840138,759.9877319,0.01058240328,
759.0083618,0.001845989027,759.0083618,0.003913390916,759.0083618,0.004415242467,759.0083618,0.009673565626,759.0083618,0.006977136713,759.0083618,0.009369595908,759.0083618,0.004801630974,759.0083618,0.01108626276,759.0083618,0.007615980692,759.0083618,0.006852020975,759.0083618,0.01025688462,759.0083618,0.003331220942,759.0083618,0.007799056824,759.0083618,0.007137759589,759.0083618,0.00978506729,759.0083618,0.01170626655,759.0083618,0.01167047303,759.0083618,0.01057980396,
757.9935913,6.295923959E-005,757.9935913,0.001632482512,757.9935913,0.002449078253,757.9935913,0.004262942821,757.9935913,0.00147528504,757.9935913,0.00598480273,757.9935913,0.006785256322,757.9935913,0.008857419714,757.9935913,0.006090032402,757.9935913,0.00493409019,757.9935913,0.008541717194,757.9935913,0.00693336688,757.9935913,0.006233494729,757.9935913,0.008992152289,757.9935913,0.008142572828,757.9935913,0.009059336036,757.9935913,0.008282176219,757.9935913,0.01064370573,
757.0135498,0.000942546525,757.0135498,0.003976841923,757.0135498,0.005349138286,757.0135498,0.005788087379,757.0135498,0.005090632942,757.0135498,0.006802557968,757.0135498,0.006165591069,757.0135498,0.008757935837,757.0135498,0.007385137957,757.0135498,0.007655682974,757.0135498,0.01226391084,757.0135498,0.006927817129,757.0135498,0.009121984243,757.0135498,0.01219026651,757.0135498,0.009057803079,757.0135498,0.01058550645,757.0135498,0.01229722332,757.0135498,0.01483197697,
755.9980469,-0.0002496243105,755.9980469,0.003450003453,755.9980469,0.003839503042,755.9980469,0.00608672481,755.9980469,0.00357570895,755.9980469,0.008344526403,755.9980469,0.009020826779,755.9980469,0.01144323219,755.9980469,0.007816188037,755.9980469,0.006925292313,755.9980469,0.01008765865,755.9980469,0.007387481164,755.9980469,0.006565891672,755.9980469,0.0101104714,755.9980469,0.011294825,755.9980469,0.01250093244,755.9980469,0.01150205173,755.9980469,0.0122393081,
