,SrcID,DestID,Volume
106,I2,K4,10.0
107,G6,K4,1490.0
108,I2,L3,50.0
109,G6,L3,1450.0
110,I2,L4,50.0
111,G6,L4,1450.0
112,I2,M3,160.0
113,G6,M3,1340.0
114,I2,M4,160.0
115,G6,M4,1340.0
116,I2,N3,390.0
117,G7,N3,1110.0
118,I2,N4,390.0
119,G7,N4,1110.0
120,I2,O3,810.0
121,G7,O3,690.0
122,I2,O4,810.0
123,G7,O4,690.0
124,I2,P3,1500.0
126,I3,P4,1500.0
129,G7,A5,1500.0
131,G7,A6,1500.0
133,G7,B5,1500.0
135,G7,B6,1500.0
136,I3,C5,10.0
137,G8,C5,1490.0
138,I3,C6,10.0
139,G8,C6,1490.0
140,I3,D5,50.0
141,G8,D5,1450.0
142,I3,D6,50.0
143,G8,D6,1450.0
144,I3,E5,160.0
145,G8,E5,1340.0
146,I3,E6,160.0
147,G8,E6,1340.0
148,I3,F5,390.0
149,G8,F5,1110.0
150,I3,F6,390.0
151,G9,F6,1110.0
152,I3,G5,810.0
153,G9,G5,690.0
154,I3,G6,810.0
155,G9,G6,690.0
156,I3,H5,1500.0
158,I3,H6,1500.0
161,G9,I5,1500.0
163,G9,I6,1500.0
165,G9,J5,1500.0
167,G9,J6,1500.0
168,I3,K5,10.0
169,G9,K5,1490.0
170,I3,K6,10.0
171,G10,K6,1490.0
172,I3,L5,50.0
173,G10,L5,1450.0
174,I3,L6,50.0
175,G10,L6,1450.0
176,I3,M5,160.0
177,G10,M5,1340.0
178,I3,M6,160.0
179,G10,M6,1340.0
180,I3,N5,390.0
181,G10,N5,1110.0
182,I3,N6,390.0
183,G10,N6,1110.0
184,I3,O5,810.0
185,G10,O5,690.0
186,I3,O6,810.0
187,G11,O6,690.0
188,I4,P5,1500.0
190,I4,P6,1500.0
193,G11,A7,1000.0
195,G11,A8,1000.0
197,G11,B7,1000.0
199,G11,B8,1000.0
200,I4,C7,7.5
201,G11,C7,992.5
202,I4,C8,7.5
203,G11,C8,992.5
204,I4,D7,32.5
205,G11,D7,967.5
206,I4,D8,32.5
207,G11,D8,967.5
208,I4,E7,107.5
209,G11,E7,892.5
210,I4,E8,107.5
211,G12,E8,892.5
212,I4,F7,260.0
213,G12,F7,740.0
214,I4,F8,260.0
215,G12,F8,740.0
216,I4,G7,540.0
217,G12,G7,460.0
218,I4,G8,540.0
219,G12,G8,460.0
220,I4,H7,1000.0
222,I4,H8,1000.0
225,G12,I7,1000.0
227,G12,I8,1000.0
229,G12,J7,1000.0
231,G12,J8,1000.0
232,I4,K7,7.5
233,G12,K7,992.5
234,I4,K8,7.5
235,G12,K8,992.5
236,I4,L7,32.5
237,G12,L7,967.5
238,I4,L8,32.5
239,G13,L8,967.5
240,I4,M7,107.5
241,G13,M7,892.5
242,I4,M8,107.5
243,G13,M8,892.5
244,I4,N7,260.0
245,G13,N7,740.0
246,I4,N8,260.0
247,G13,N8,740.0
248,I4,O7,540.0
249,G13,O7,460.0
250,I4,O8,540.0
251,G13,O8,460.0
252,I4,P7,1000.0
254,I5,P8,1000.0
257,G13,A9,1000.0
259,G13,A10,1000.0
261,G13,B9,1000.0
263,G13,B10,1000.0
264,I5,C9,7.5
