BLANK,,BM3_wthEME_2IN1000,,BM3_wtheme_5in1000,,BM3_wtheme_10in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
673.9450073,-0.0002764259116,673.9450073,0.004061309155,673.9450073,0.005990603007,673.9450073,0.01366602629,
672.9296265,-0.0005633790279,672.9296265,0.004030269105,672.9296265,0.007003574166,672.9296265,0.0129480008,
672.059082,-0.0007315939292,672.059082,0.00443686964,672.059082,0.006957224105,672.059082,0.01300779823,
671.0431519,0.0006796239759,671.0431519,0.003694923827,671.0431519,0.007635028102,671.0431519,0.01327565126,
670.0268555,-0.0005610006046,670.0268555,0.003527635476,670.0268555,0.00606863806,670.0268555,0.01349853817,
669.0103149,0.001275564544,669.0103149,0.005703100003,669.0103149,0.006717818789,669.0103149,0.01357659884,
667.9934082,-0.0009391105268,667.9934082,0.005120282527,667.9934082,0.006579373963,667.9934082,0.01546212938,
666.9761963,-0.0005001394311,666.9761963,0.003900749143,666.9761963,0.008130623959,666.9761963,0.01496203896,
665.9586792,0.0005776669714,665.9586792,0.005035608541,665.9586792,0.007641166449,665.9586792,0.0155387735,
664.9407959,-0.0001714348182,664.9407959,0.004335360136,664.9407959,0.007377607282,664.9407959,0.01513180789,
664.0681152,0.0003864163882,664.0681152,0.006127862725,664.0681152,0.007814949378,664.0681152,0.01560904365,
663.0497437,0.0002988527704,663.0497437,0.005263817497,663.0497437,0.007568643428,663.0497437,0.0157587193,
662.0310059,-0.000500759983,662.0310059,0.004409097135,662.0310059,0.007393089589,662.0310059,0.01587904245,
661.0119629,0.0002164606267,661.0119629,0.004573063459,661.0119629,0.007519941311,661.0119629,0.01569212787,
659.9925537,-0.0004707141197,659.9925537,0.00418525748,659.9925537,0.007441039663,659.9925537,0.01677740365,
658.9729004,-0.0001278578566,658.9729004,0.005136915017,658.9729004,0.008368936367,658.9729004,0.0169168245,
657.9529419,-0.0001211294366,657.9529419,0.004355283454,657.9529419,0.008410185575,657.9529419,0.01672768593,
656.9326172,-0.0006088769296,656.9326172,0.005248279776,656.9326172,0.007780872285,656.9326172,0.01660656184,
656.0578613,0.0004115488555,656.0578613,0.005483154207,656.0578613,0.007943664677,656.0578613,0.01718419231,
655.0369873,-0.000231048456,655.0369873,0.005837776233,655.0369873,0.008449088782,655.0369873,0.01688094996,
654.0158081,-9.338653035E-5,654.0158081,0.006976557896,654.0158081,0.008139038458,654.0158081,0.01692775264,
652.9943237,-6.740183017E-5,652.9943237,0.006490736734,652.9943237,0.009254101664,652.9943237,0.01811203174,
651.9725342,0.0003281768295,651.9725342,0.005547699984,651.9725342,0.007987245917,651.9725342,0.01771855727,
650.9504395,2.399695586E-5,650.9504395,0.006055040751,650.9504395,0.007920043543,650.9504395,0.018222427,
649.9280396,-8.142962179E-5,649.9280396,0.005291172769,649.9280396,0.008185514249,649.9280396,0.01841429807,
649.0514526,-0.0004469241831,649.0514526,0.005968111102,649.0514526,0.008260092698,649.0514526,0.01802432723,
648.0284424,0.0003668296267,648.0284424,0.005455445964,648.0284424,0.009320771322,648.0284424,0.01955100335,
647.005188,0.001150367316,647.005188,0.008104830049,647.005188,0.009462420829,647.005188,0.01975928247,
645.9815674,-3.867191481E-5,645.9815674,0.004667798989,645.9815674,0.007716810796,645.9815674,0.01917499863,
644.9577026,1.118288219E-5,644.9577026,0.005311742891,644.9577026,0.008820909075,644.9577026,0.01893876866,
643.9334717,0.0005663658376,643.9334717,0.005394687876,643.9334717,0.009416045621,643.9334717,0.01841302775,
643.0553589,-0.0003855814866,643.0553589,0.006973059382,643.0553589,0.009434801526,643.0553589,0.01866116002,
642.0306396,0.0004473327426,642.0306396,0.005722089671,642.0306396,0.009319686331,642.0306396,0.01966715604,
641.0055542,-0.0008064270951,641.0055542,0.004884740338,641.0055542,0.007963359356,641.0055542,0.01807052456,
639.9801636,0.0007559842779,639.9801636,0.004170360044,639.9801636,0.008051558398,639.9801636,0.01856764406,
638.9545288,-0.0004030645068,638.9545288,0.005246446002,638.9545288,0.009186888114,638.9545288,0.01888855919,
