baselien,,bm3WTHeme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
672.9296265,-0.0003921506286,672.9296265,0.01062969957,
672.059082,2.738821786E-5,672.059082,0.01082862075,
671.0431519,0.0002911076008,671.0431519,0.01010864321,
670.0268555,0.0003750165633,670.0268555,0.01026401389,
669.0103149,-0.0001421942288,669.0103149,0.01078472659,
667.9934082,-6.165599916E-5,667.9934082,0.01094312686,
666.9761963,-0.001046395279,666.9761963,0.01002611686,
665.9586792,0.0002261469199,665.9586792,0.01101472881,
664.9407959,0.0005830066511,664.9407959,0.01193899289,
664.0681152,0.0002565539326,664.0681152,0.01202656608,
663.0497437,-0.0007621902623,663.0497437,0.01081619971,
662.0310059,-3.913781984E-5,662.0310059,0.01232955232,
661.0119629,0.0003894995607,661.0119629,0.01292594615,
659.9925537,0.00134387624,659.9925537,0.01349146198,
658.9729004,-0.0005399561487,658.9729004,0.01213625167,
657.9529419,0.0003681509115,657.9529419,0.01227490883,
656.9326172,-0.000365925167,656.9326172,0.01332748495,
656.0578613,-0.0001236655517,656.0578613,0.01345514785,
655.0369873,0.0002419199736,655.0369873,0.01308465004,
654.0158081,-0.0002165597834,654.0158081,0.01345245168,
652.9943237,-0.0002661814797,652.9943237,0.0139472764,
651.9725342,-0.0007674617227,651.9725342,0.01291151904,
650.9504395,-0.0001046702382,650.9504395,0.01343840733,
649.9280396,0.0005425721756,649.9280396,0.01373487245,
649.0514526,0.0001625943114,649.0514526,0.01371563599,
648.0284424,0.001077674562,648.0284424,0.01387719437,
647.005188,0.001340163057,647.005188,0.0140963532,
645.9815674,-0.0001064300595,645.9815674,0.01383830886,
644.9577026,-0.001405196148,644.9577026,0.01390368119,
643.9334717,-0.001209002337,643.9334717,0.01346067525,
643.0553589,0.0001666858443,643.0553589,0.01349119563,
642.0306396,-0.0002976383839,642.0306396,0.01333466545,
641.0055542,1.252898983E-5,641.0055542,0.01391159277,
639.9801636,-0.0004387008375,639.9801636,0.01386888232,
638.9545288,0.0003506893408,638.9545288,0.01361492649,
637.9285278,-0.0004210640618,637.9285278,0.01419613138,
637.0488892,0.0005287319655,637.0488892,0.01469357312,
636.0223999,-0.0005750124692,636.0223999,0.0137950452,
634.9955444,-0.0003772017953,634.9955444,0.01370342728,
633.9684448,0.0004012106801,633.9684448,0.01456289552,
632.940979,-0.0002632322721,632.940979,0.01433699951,
632.0601196,-0.0002620422456,632.0601196,0.01362488978,
631.0321045,7.351677141E-6,631.0321045,0.01458618417,
630.0038452,-0.0003740981629,630.0038452,0.01365571469,
628.9752808,-0.0007243580185,628.9752808,0.01298606023,
627.9464111,-0.001060753013,627.9464111,0.0130154267,
627.06427,-0.0005075342488,627.06427,0.0137012098,
626.0348511,0.0001321679738,626.0348511,0.01423023455,
625.005127,0.0002278303873,625.005127,0.01337582804,
623.9750977,-0.0004969332949,623.9750977,0.01365277637,
622.9448242,0.001125711133,622.9448242,0.01314486563,
622.0614624,-0.001230220892,622.0614624,0.01240966748,
621.0306396,-0.0004024438385,621.0306396,0.01444518194,
619.9994507,-0.000386098749,619.9994507,0.0131593002,
618.9680176,-0.0003811330243,618.9680176,0.01367879566,
617.9362793,-7.7081575E-5,617.9362793,0.01380870026,
617.0517578,6.870679499E-5,617.0517578,0.01453411952,
616.0194702,0.0006106130895,616.0194702,0.01445305068,
614.9868774,-0.0004711795773,614.9868774,0.01370430831,
613.9540405,-0.0005423346884,613.9540405,0.01374291442,
613.0685425,-0.0003026568156,613.0685425,0.01403146051,
612.0351563,-0.0004976572236,612.0351563,0.01388964895,
611.0014648,-0.0001874774898,611.0014648,0.01378676109,
609.9674683,-0.000409840286,609.9674683,0.01563287154,
608.9332275,-0.0003130038385,608.9332275,0.01489913277,
608.0465088,-0.001227794564,608.0465088,0.01427396946,
607.0117188,-0.0009077516734,607.0117188,0.01405033655,
605.9766235,0.0002553365775,605.9766235,0.01542404108,
604.9412842,-0.0003038467257,604.9412842,0.01555889565,
604.0535889,-0.0004692143702,604.0535889,0.01548865996,
603.0177002,-0.0004308910866,603.0177002,0.0159280207,
601.9815674,6.008548735E-5,601.9815674,0.01662953012,
600.9450684,-0.0001286859624,600.9450684,0.01637873985,
600.0564575,-0.0006720490055,600.0564575,0.01672311313,
599.0194702,0.0003166231327,599.0194702,0.01714161597,
597.9822388,0.0003184623783,597.9822388,0.01815470122,
596.9446411,0.0004646427406,596.9446411,0.01887455396,
596.0551147,6.073272743E-5,596.0551147,0.01873777434,
595.0170288,-0.000374201627,595.0170288,0.01965770312,
593.9786987,0.000237361528,593.9786987,0.01964318566,
592.9400635,4.426726082E-5,592.9400635,0.02075715549,
592.0495605,0.0001076730914,592.0495605,0.02042720653,
591.010437,-0.0001730908552,591.010437,0.02152281813,
589.9710083,-0.001817889162,589.9710083,0.02087135054,
588.9312744,-0.00103322498,588.9312744,0.02210664935,
588.039917,3.839058627E-5,588.039917,0.02406613342,
586.9996948,-0.001212254865,586.9996948,0.02450377308,
585.9591675,0.0002631588141,585.9591675,0.02636788413,
585.0670776,-0.0004992086324,585.0670776,0.02712408639,
584.026062,0.0001581402757,584.026062,0.02858694829,
582.9848022,-0.0006250067963,582.9848022,0.02972823195,
581.9432373,-0.0004189434694,581.9432373,0.03036356531,
581.0502319,0.000203666772,581.0502319,0.03199503198,
580.0081787,-0.0005667398218,580.0081787,0.03300483525,
578.9658203,-0.0004736619012,578.9658203,0.03511601314,
578.0721436,-0.0001631027408,578.0721436,0.03561205417,
577.0292969,-0.001031572232,577.0292969,0.03588963673,
575.9862061,-0.0009155012085,575.9862061,0.03734457493,
574.9428101,-0.0002835141204,574.9428101,0.03884205222,
574.0482178,-0.0009733597981,574.0482178,0.03873596713,
573.0043335,-0.0008059620159,573.0043335,0.04017066956,
571.960144,-0.001188092516,571.960144,0.03995773569,
571.0649414,0.0002309642441,571.0649414,0.04180458188,
570.0202637,-0.0002486411831,570.0202637,0.04141417146,
568.9753418,-7.702980656E-5,568.9753418,0.04168343917,
567.9301147,-0.0003411983198,567.9301147,0.04141926765,
567.0339966,-0.0006423768355,567.0339966,0.04104012996,
565.9882813,0.0005791444564,565.9882813,0.04218550026,
564.9423218,1.995853927E-5,564.9423218,0.04109834507,
564.0455933,0.0009469048236,564.0455933,0.04194728285,
562.9990845,-0.001139608794,562.9990845,0.03954277933,
561.9523926,0.0001286723273,561.9523926,0.04054609314,
561.0549927,0.00013159831,561.0549927,0.04002071545,
560.0077515,0.0006228745915,560.0077515,0.03989737481,
558.9602661,0.0005187797942,558.9602661,0.03964526206,
558.0621948,0.001030058367,558.0621948,0.03941912204,
557.0142212,-0.000208642552,557.0142212,0.038587071,
555.9659424,-0.0004715932882,555.9659424,0.03819346428,
555.0672607,-0.0004008921096,555.0672607,0.03954014555,
554.0185547,-0.0003989265824,554.0185547,0.03888103366,
552.9695435,-6.848887278E-5,552.9695435,0.03992725536,
552.0701904,0.0002630811068,552.0701904,0.03962447494,
551.020752,-0.0002370507573,551.020752,0.03969625756,
549.9710083,7.398839807E-5,549.9710083,0.04119035229,
549.0710449,4.659499155E-6,549.0710449,0.0408394523,
548.020813,0.0001545926352,548.020813,0.04167038947,
546.9703369,-2.847447149E-6,546.9703369,0.0429520607,
546.0697021,6.606601528E-5,546.0697021,0.04256655648,
545.0187988,0.000148999301,545.0187988,0.04280636832,
543.9675903,0.0005485074944,543.9675903,0.04312584177,
543.0663452,-0.0004505444667,543.0663452,0.04322382435,
542.0146484,-0.0001245971798,542.0146484,0.04354263097,
540.9627075,-0.0005866973079,540.9627075,0.04382960126,
540.0608521,0.0001680842252,540.0608521,0.04406131804,
539.0084229,-0.001756945974,539.0084229,0.04288930818,
537.9557495,-0.0002758050687,537.9557495,0.04449500889,
537.0532837,-9.669920837E-5,537.0532837,0.04441483319,
536.0001221,-0.0004618706298,536.0001221,0.04391843453,
534.9467163,-2.847447149E-6,534.9467163,0.04431663826,
534.0436401,-0.0002744598314,534.0436401,0.0442892313,
532.9897461,-0.0010370987,532.9897461,0.04302019253,
