ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,experiment_number,file,protein_days_thawed,plate_type
Palmitic acid,0.8103402320243479,0.0036842101335400287,-1.0499300014351531,14,0,0.040999999999999995,2.4158124999999955,1.4919000331943177,0.009326421760629469,-0.0035831653209301454,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Palmitic acid,6.582547308574625,0.0019426889486144326,-0.5277265005482459,15,0,0.043,2.6485000000000003,1.0256174007068906,0.005986592162013854,-0.002552469753574601,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
4-PhenylImidazole,1.8186644339439556e-06,0.004142850033436658,-0.44979397663965637,16,0,0.051000000000000004,2.6691875000000005,1.0390058712580772,0.01151939358522959,-0.006581754032729552,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
4-PhenylImidazole,2.4787572168449845e-15,0.0031428568985346276,-0.2348111321459998,17,0,0.03800000000000001,0.1445000000000004,27.99172530203365,0.0147980452377043,-0.006609929434390033,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
,3.0311952397254616,0.005724667488368148,-0.70081878266755,1,0,0.061,10.92608750000001,0.7596922281964795,0.013373080636647851,0.0029641028210088513,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Arachadionic acid,29.292869898967044,0.044349693868243764,-2.5042213030353624,2,0,0.033,4.491375000000002,1.2504353113199311,0.00808437646681195,0.008089969756738861,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Arachadionic acid,19.946938239548523,0.041210221683907165,-2.4412151890878175,3,0,0.039,3.897875000000006,2.3595898898185665,0.009156379509079214,0.007506804434082559,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Lauric acid,6.426670739369578,0.03985217221069971,-1.0204218998284507,4,0,0.16799999999999998,17.806249999999967,1.274552412069924,0.05381715074477386,0.018970614920417135,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Lauric acid,499.9999999989171,0.013904407302252779,-1.8253845594176696,5,0,0.040999999999999995,11.308062500000021,0.6121367236544287,0.007945124291035352,0.0006269657210938877,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Palmitic acid,35.26186385610633,0.01067067402202083,-2.4218123936331493,6,0,0.04400000000000002,6.088437499999996,0.8918652105061917,0.008262436513696014,0.0026450100880048826,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Palmitic acid,499.9999999986881,0.014141992362217162,-1.3189395849672878,7,0,0.041,6.259875000000006,0.6697351383646415,0.010085350054127314,-0.0054996471779280125,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
4-PhenylImidazole,6.677038033304176,0.0006991976115065261,-0.4970886815805331,8,0,0.044000000000000004,5.4174375,0.5846729558948278,0.005866064633612068,-0.001402671374893645,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
4-PhenylImidazole,1.6071411847944734e-06,0.001999987859731812,-0.09090468113300543,9,0,0.033999999999999996,1.869062500000006,2.1086373658145066,0.006642665127793212,-0.0014531754030491354,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Arachadionic acid,4.271158786949354,0.0016532095964432686,-0.4521902152844841,10,0,0.04000000000000001,1.9811875000000012,1.5954662670500017,0.009840695387739922,0.001518901210447113,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Arachadionic acid,30.362365322944175,0.017734965214540127,-2.43480676060472,11,0,0.04300000000000001,2.9898749999999943,1.5862200618330422,0.012817398889233115,1.7338711905963856e-05,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Lauric acid,134.27630193142852,0.019249732605977267,-2.3458756265684806,12,0,0.04399999999999999,2.6515000000000004,0.7922714848252731,0.011783008347374014,-0.0023331653243267355,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Lauric acid,43.53205244151136,0.011314237825194608,-2.3150144236052683,13,0,0.057000000000000016,3.8695624999999993,1.094710416162303,0.011945561040463048,-0.007197983875260279,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Palmitic acid,27.49381444949818,0.004902577811872733,-1.717454860065593,14,0,0.044,2.0442500000000106,2.0708136299344266,0.009101608962940877,-0.006794254026694166,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
Palmitic acid,4.863776687188573,0.0026869604081460065,-0.2463348810143704,15,0,0.039999999999999994,2.794187500000006,1.086132572788467,0.008831760866327846,-0.004047782261062941,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
4-PhenylImidazole,6.630804177791269,0.0035308814051528982,-0.39432086654043164,16,0,0.043,3.444124999999994,0.7925381179928508,0.007482121547872827,-0.00420236895239642,13,20191010_test/20191010.CSV,2,Thermo Polystyrene (262160)
