experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,BSA,well_volume,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_bulk,plate_type
18,Arachadionic Acid,28.237071445248077,1.0149999984875007,-44.23423329968258,16.363636363636363,0.612,72.22993749999986,0.1016867596335774,0.021023796041628646,0.021850554431412098,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,25.489267026329145,0.6699999850729075,-34.71250257564697,10.0,0.5459999999999999,69.20531249999993,0.12590354441936558,0.02170212300345622,0.017366784275460657,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,30.944360110401924,0.8349999945728719,-39.083801622590514,10.0,0.576,66.73199999999991,0.08158498781084889,0.011475906437899745,0.010387600800177938,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,39.670465812554134,0.5549999999999999,-55.77894901666209,10.0,0.248,24.677375000000012,0.32629042660611696,0.02043412761603909,0.004011088708407554,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,38.91781809243671,0.5899999999999641,-36.811492926986936,10.0,0.265,25.048249999999975,0.12177959115172847,0.009576757578339637,0.003012701612828338,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,26.398202557114853,0.484999999753816,-33.57007453335577,20.0,0.251,28.592375000000004,0.15557593184231355,0.017195825905475682,0.009109475805601631,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.521861788436944,0.5649999999999998,-37.26669814675501,20.0,0.28400000000000003,30.2855625,0.15150142646113055,0.011032419757890181,0.0165950604826367,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,33.567068959698716,0.9649999999999995,-42.91998310265015,20.0,0.581,58.35581249999993,0.1547959632164728,0.026021968740717084,-9.072580494645221e-05,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.8349892746198023,0.22957691879088105,0.31896724123265496,20.0,0.612,58.80906249999995,0.2971436216810244,0.10455176434939502,0.0017476814319669777,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,27.731208915865032,0.7549999981213079,-32.889319882228406,14.545454545454549,0.41200000000000003,42.86818749999998,0.1249153254033655,0.038017852949070424,0.005835584674834711,0.5,25.454545454545453,True,0,2,3700,Manual,?
