baseline,,b0,,p0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,4,,p4,,b5,,p5,,p6,,b6,,p6,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
772.9916992,0.0001652097853,772.9916992,0.06055132672,772.9916992,1.976071835,772.9916992,0.01237501483,772.9916992,-0.0003772017953,772.9916992,0.02020344697,772.9916992,0.0005371811567,772.9916992,0.01796478033,772.9916992,7.460977213E-005,772.9916992,0.0119902147,772.9916992,0.002303529764,772.9916992,0.01320338156,772.9916992,0.0008945041918,772.9916992,0.01863789372,772.9916992,-0.0002149556531,772.9916992,1.604959652E-005,772.9916992,0.01904618368,772.9916992,0.0004174305941,772.9916992,0.01862973347,772.9916992,0.0007440302288,772.9916992,0.01429799292,772.9916992,0.0001537639764,772.9916992,0.01232073735,
772.0109863,-0.000125166509,772.0109863,0.05956065655,772.0109863,1.990671992,772.0109863,0.01167100482,772.0109863,0.0005401876988,772.0109863,0.02009723708,772.0109863,0.0001322974422,772.0109863,0.01843490452,772.0109863,0.0008743238286,772.0109863,0.01211040467,772.0109863,0.001701733912,772.0109863,0.01358875073,772.0109863,4.960034858E-005,772.0109863,0.01885955036,772.0109863,1.773225085E-005,772.0109863,0.0002400292433,772.0109863,0.02059684694,772.0109863,0.0004138289951,772.0109863,0.01917551272,772.0109863,9.037731797E-005,772.0109863,0.01384333335,772.0109863,0.0009407564648,772.0109863,0.01271078829,
770.994812,-0.0007571771857,770.994812,0.05981856957,770.994812,2.00149107,770.994812,0.01202885527,770.994812,-0.0006116686855,770.994812,0.01984608918,770.994812,-0.0007723196759,770.994812,0.01748915575,770.994812,-0.0003810295602,770.994812,0.01214839052,770.994812,0.001606110134,770.994812,0.01267150138,770.994812,-0.0003975817526,770.994812,0.01922307722,770.994812,-0.000329817296,770.994812,-0.0005592943635,770.994812,0.01892170683,770.994812,-0.0007650844054,770.994812,0.01907672174,770.994812,0.0002064637811,770.994812,0.01389582269,770.994812,4.162663026E-005,770.994812,0.01196951233,
770.0132446,-0.0004783162731,770.0132446,0.05984269455,770.0132446,2.014787912,770.0132446,0.01190882083,770.0132446,0.0002680801554,770.0132446,0.02040398121,770.0132446,-0.0004718001583,770.0132446,0.01842931472,770.0132446,-0.00051880721,770.0132446,0.01332564279,770.0132446,0.001376153436,770.0132446,0.01290399861,770.0132446,0.0001085275362,770.0132446,0.01931029186,770.0132446,-0.0005238230806,770.0132446,-0.0002374647156,770.0132446,0.01860314608,770.0132446,0.0006596091553,770.0132446,0.01877483167,770.0132446,0.0006489540101,770.0132446,0.0141171841,770.0132446,-0.0001160571701,770.0132446,0.01257633604,
768.9963379,-9.540520114E-005,768.9963379,0.05973860249,768.9963379,2.046144485,768.9963379,0.01220403053,768.9963379,-0.001226762077,768.9963379,0.02136663161,768.9963379,0.0003769078758,768.9963379,0.01885435916,768.9963379,0.0004594341153,768.9963379,0.01221076585,768.9963379,0.0007733843522,768.9963379,0.01379630063,768.9963379,0.0007934044115,768.9963379,0.01947529987,768.9963379,0.0002331916185,768.9963379,-1.920696377E-005,768.9963379,0.01995947585,768.9963379,0.0007442376227,768.9963379,0.01926723681,768.9963379,5.85026828E-006,768.9963379,0.01429799292,768.9963379,0.0004564540868,768.9963379,0.01277740393,
768.0140381,-0.0002016048966,768.0140381,0.05922183394,768.0140381,1.992711544,768.0140381,0.01238891855,768.0140381,-0.0004293911916,768.0140381,0.02126342431,768.0140381,0.0009889855282,768.0140381,0.01840365678,768.0140381,0.0004461407661,768.0140381,0.01223235857,768.0140381,0.001191169955,768.0140381,0.01422689017,768.0140381,0.0001884648518,768.0140381,0.01980533823,768.0140381,0.0005399285001,768.0140381,-0.0003789087932,768.0140381,0.02066020295,768.0140381,0.0004251261707,768.0140381,0.01859736443,768.0140381,-0.0002716659219,768.0140381,0.01440172363,768.0140381,-0.0002879635722,768.0140381,0.01400550082,
766.9963379,0.001369401813,766.9963379,0.06041032448,766.9963379,2.056353569,766.9963379,0.01350315847,766.9963379,0.0009571522241,766.9963379,0.02226659097,766.9963379,-0.0002011909091,766.9963379,0.01961921714,766.9963379,0.001277693431,766.9963379,0.01357892249,766.9963379,0.002097549383,766.9963379,0.0145319514,766.9963379,0.000618830556,766.9963379,0.0208872389,766.9963379,0.000221433249,766.9963379,0.0003204052337,766.9963379,0.0209334977,766.9963379,0.0002340981155,766.9963379,0.0207770057,766.9963379,0.0007392590633,766.9963379,0.01560740732,766.9963379,0.0009067218052,766.9963379,0.01453588624,
766.0133667,-0.0002735285379,766.0133667,0.05643501505,766.0133667,2.00844121,766.0133667,0.01324573252,766.0133667,0.0003461556626,766.0133667,0.02129844017,766.0133667,0.0002908485767,766.0133667,0.01895420998,766.0133667,-3.432343874E-005,766.0133667,0.01384485606,766.0133667,0.0006922762841,766.0133667,0.01514454,766.0133667,0.0004975284683,766.0133667,0.02116671205,766.0133667,2.976988435E-005,766.0133667,-9.007383051E-005,766.0133667,0.02062531933,766.0133667,0.0006652349839,766.0133667,0.01991638355,766.0133667,0.0004358276783,766.0133667,0.01461043861,766.0133667,0.0004186224833,766.0133667,0.01258051954,
764.994873,-0.0006274883053,764.994873,0.0580384247,764.994873,2.008915186,764.994873,0.01317208167,764.994873,-0.0006085666828,764.994873,0.02162513509,764.994873,-0.0004516305635,764.994873,0.0195023194,764.994873,8.815067122E-005,764.994873,0.01213422883,764.994873,0.001261882717,764.994873,0.01425224822,764.994873,-0.000231565893,764.994873,0.01972861588,764.994873,0.000129992899,764.994873,-0.001296451432,764.994873,0.01965188049,764.994873,-0.000789580401,764.994873,0.01952725649,764.994873,-0.0002470371837,764.994873,0.01468511112,764.994873,0.0005103568546,764.994873,0.01324701402,
764.0111084,-0.0001203013162,764.0111084,0.06096797064,764.0111084,1.996897578,764.0111084,0.01302814949,764.0111084,0.0002558027918,764.0111084,0.02209972963,764.0111084,0.0005174580147,764.0111084,0.01995256357,764.0111084,0.0001890863787,764.0111084,0.01288474631,764.0111084,0.002668872941,764.0111084,0.01546293404,764.0111084,-0.0001905306999,764.0111084,0.02032696269,764.0111084,0.000320301624,764.0111084,0.0001192471391,764.0111084,0.0211327672,764.0111084,0.0003038522264,764.0111084,0.02094118483,764.0111084,-0.0001231997303,764.0111084,0.01551476214,764.0111084,9.545205103E-005,764.0111084,0.01363755111,
