2019-12-21 17:39:12.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.590	SOAPFluidTransferProxy.cpp(179)	INFO	PresentSrcPlateGripper() START"
2019-12-21 17:39:12.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:41.230	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:13.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:41.279	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:14.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:42.389	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:15.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:43.727	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:16.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.573	SOAPFluidTransferProxy.cpp(916)	INFO	PresentSrcPlateGripper() END"
2019-12-21 17:39:16.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.690	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:16.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.727	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:16.5,,Debug,OnEndExtendSourcePlateGripper,Event,,192.168.0.25,,
2019-12-21 17:39:16.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.836	SOAPFluidTransferProxy.cpp(179)	INFO	CheckSrcPlateInsertCompatibility() START"
2019-12-21 17:39:16.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.836	SOAPFluidTransferProxy.cpp(916)	INFO	CheckSrcPlateInsertCompatibility() END"
2019-12-21 17:39:16.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.851	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:16.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:44.887	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:16.6,,Debug,Pause,Action,,192.168.0.25,,"Paused"
2019-12-21 17:39:16.6,,Debug,OnInsertSourcePlate,Event,,192.168.0.25,,
2019-12-21 17:39:16.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:45.024	SOAPFluidTransferProxy.cpp(179)	INFO	GetPlateInsert() START"
2019-12-21 17:39:16.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:45.024	SOAPFluidTransferProxy.cpp(916)	INFO	GetPlateInsert() END"
2019-12-21 17:39:17.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:46.025	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:17.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:46.067	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:18.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:47.174	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:18.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:47.215	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:19.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:47.784	SOAPFluidTransferProxy.cpp(179)	INFO	SetBarcodesCheck() START"
2019-12-21 17:39:19.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:47.785	SOAPFluidTransferProxy.cpp(916)	INFO	SetBarcodesCheck() END"
2019-12-21 17:39:19.6,,Debug,Continue,Action,,192.168.0.25,,"Running"
2019-12-21 17:39:19.7,,Debug,FireOnStartRetractSourcePlateGripper,Event,,192.168.0.25,,
2019-12-21 17:39:19.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:48.025	SOAPFluidTransferProxy.cpp(179)	INFO	SetPlateMap() START"
2019-12-21 17:39:19.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:48.027	SOAPFluidTransferProxy.cpp(916)	INFO	SetPlateMap() END"
2019-12-21 17:39:19.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:48.134	SOAPFluidTransferProxy.cpp(179)	INFO	RetractSrcPlateGripper() START"
2019-12-21 17:39:20.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:48.341	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:20.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:48.383	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:20.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:49.103	SourcePlateService.cpp(598)	INFO	Unable to find ionizer speed parameter."
2019-12-21 17:39:21.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:49.512	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:21.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:49.547	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:22.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:50.705	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:22.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:50.743	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:23.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:51.864	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:23.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:51.908	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
