BLANK,,Workingstovck,,Workingstovck1,,Workingstovck2,,Workingstovck3,,NewWorkingstock,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750.9950562,-0.001906246529,750.9950562,0.01796391793,750.9950562,0.03701480851,750.9950562,0.01488922071,750.9950562,0.003027094761,750.9950562,0.02607641555,
750.0055542,0.001862445031,750.0055542,0.02220245451,750.0055542,0.03867650777,750.0055542,0.01659749821,750.0055542,0.006645949092,750.0055542,0.02913753316,
749.015625,0.0001037115726,749.015625,0.02041320689,749.015625,0.03528974578,749.015625,0.01634188741,749.015625,0.004389066715,749.015625,0.02825782262,
748.0253906,-0.0007331961533,748.0253906,0.01866410486,748.0253906,0.03819397464,748.0253906,0.01582285017,748.0253906,0.005253310781,748.0253906,0.02680575848,
747.03479,-0.0002526253229,747.03479,0.02064323612,747.03479,0.0385774821,747.03479,0.01566920802,747.03479,0.005220298655,747.03479,0.02776064165,
746.0438843,0.001936829416,746.0438843,0.02240009792,746.0438843,0.03675777093,746.0438843,0.01609881222,746.0438843,0.005252105184,746.0438843,0.02972440608,
745.0525513,0.0007446006639,745.0525513,0.02179742046,745.0525513,0.03894892707,745.0525513,0.01732654311,745.0525513,0.005485513248,745.0525513,0.03143878654,
744.0609131,0.0003176852188,744.0609131,0.01997958682,744.0609131,0.03751084954,744.0609131,0.0169390291,744.0609131,0.006550387014,744.0609131,0.02763295174,
743.0689087,-0.001017936622,743.0689087,0.01990090869,743.0689087,0.03743736818,743.0689087,0.0158205945,743.0689087,0.004613351543,743.0689087,0.02853008173,
741.9347534,-0.001769372495,741.9347534,0.01967690699,741.9347534,0.03691060469,741.9347534,0.01573523134,741.9347534,0.005614851136,741.9347534,0.02904389426,
740.9420166,9.615113231E-5,740.9420166,0.02101105824,740.9420166,0.03804916516,740.9420166,0.01784341782,740.9420166,0.0054466906,740.9420166,0.02846940979,
739.9489136,-0.001215042779,739.9489136,0.02010089718,739.9489136,0.03766093031,739.9489136,0.01548860595,739.9489136,0.00505729299,739.9489136,0.02857207507,
738.9554443,-0.0009191692225,738.9554443,0.01985812001,738.9554443,0.03630246595,738.9554443,0.01654693857,738.9554443,0.005542482249,738.9554443,0.02760848403,
