experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,concentrations,controls_ok,centrifuge_minutes,centrifuge_rpm,dispense_bulk,dispense_ligands,protein_days_thawed,well_volume
15,SDS,0.0007724492887783788,0.009431269100913206,0.7978016929528348,7.45,0.022000000000000006,1.8895000000000024,2.083795862472779,0.005318431562567512,0.0037669354848892207,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,0.338984865077981,0.0068757472987857355,0.6185870582158364,7.45,0.023999999999999997,3.089250000000008,0.8218907842109808,0.005303300858899105,-0.0005126008063680364,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,0.7516333268293346,0.006621827122106243,0.369810462740363,7.45,0.022,4.535062499999998,0.5099470175266034,0.0032841611235921854,0.00345378024165583,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,0.8198339273736992,0.0016304497924503384,0.16526466591790212,7.45,0.028000000000000004,4.410625000000001,0.6885641393246678,0.005780200194259219,-0.000248840720411607,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,1.2445990769646752e-07,0.0015714124846332295,0.10871518369902433,7.45,0.027999999999999997,1.7943749999999956,1.7025700467134455,0.006186101934405634,-3.6290321553200916e-05,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,7.318880434399791e-10,0.0027142850200262913,0.360639360629579,7.45,0.032,2.933624999999997,1.5505577171122937,0.011829140773047355,0.0017256552415729012,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,1.179436134903279,0.004538895566601442,0.012041285213480246,7.45,0.024000000000000004,3.409499999999998,0.6728801756151516,0.005604526232048013,0.0006789314524595289,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,4-Phenylimidazole,0.5453953195260015,0.0030454056171080974,0.2950840536975995,7.45,0.022999999999999993,-0.0076249999999977724,-240.9997312549595,0.006824326235712106,0.003356703628489283,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,4.6351058737595885,0.017828499376813484,-2.0625423342677904,1.45,0.083,13.861125000000019,0.5947079320658653,0.023883272687923535,0.008540171370356023,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,1.3490293951368137e-14,0.0037142985350970955,0.26530612242369145,1.45,0.038000000000000006,3.001187500000003,1.4584171289449246,0.010528871870107587,-0.011011643150051435,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,4.718509058760619,0.007873397517172627,-2.006518809612081,1.45,0.027000000000000007,5.206250000000003,0.9478444760313437,0.004399675312695573,0.0005971774195503507,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,5.3408998363918406e-08,0.0022857086176438796,0.07619047628370723,1.45,0.027999999999999997,7.189875000000007,0.6315757358743846,0.00730826342476202,-0.0016466229823166706,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,0.6334466585632792,0.01732726791184541,0.5580411500520917,1.45,0.019999999999999997,3.624062499999993,0.7513798030117332,0.004068608045581612,0.003247731854295593,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,0.8193586743052136,0.015779502849807708,0.3670108398071076,1.45,0.023999999999999997,-0.5013125000000057,-7.8673942508573855,0.007502380574571933,0.0007004536314235571,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,1.0680001747493144,0.021193717361241298,0.1361658547718536,1.45,0.017999999999999995,1.1139999999999977,2.0665991891425732,0.00554043577450624,0.0058852318539709975,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,3.178116578826883,0.0251957417406071,-2.2785601608051675,1.45,0.022,1.2772499999999987,1.8566221347446663,0.00790004520782725,0.002218901207765707,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,0.24619673256894076,0.004041512475262902,0.44560089387080726,1.45,0.024000000000000007,3.3068750000000016,0.9726202812494076,0.005070925528371097,0.0017695060487409563,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,0.0011695537544991128,0.0020009307566496368,0.1627905646729113,1.45,0.023,3.030499999999991,1.1687089208700498,0.005817154434453816,-0.003459223791243961,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,44.922330433025316,0.0180203581029604,-65.82529047506941,1.45,0.023,4.165374999999992,0.42645637285224897,0.0036425069859723205,-0.0009801915325548963,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,0.11282652970710384,0.006573160331320428,0.7166630445718638,1.45,0.044399999999999995,1.176625,4.244499695212861,0.017262159275627798,-0.017544964715308715,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,0.9222137864936344,0.005252813962174201,0.04218771093277607,1.45,0.033,5.0674375,0.6723570885692556,0.009264949309860559,0.0002416834683532437,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,0.3294509875931443,0.004943262353541651,0.1824714088698064,1.45,0.033000000000000015,9.227000000000016,0.39474666285516696,0.008713700214522615,-0.0014473790326506304,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,5.919414959177285e-09,0.001285710990314335,0.08571428559942107,1.45,0.03,2.633874999999997,1.0100009036874407,0.007722878811871722,-0.005276108872539891,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,40.42219281396818,0.028772418924876083,-109.99183052450766,1.45,0.022000000000000006,1.9737499999999992,1.767485344326934,0.009811618477236932,-0.0001159778227328781,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,0.24276363979340457,0.009771317792389742,0.7700483706086454,1.45,0.02799999999999999,3.635,0.8544531105008708,0.006577830732305075,0.0048555947580258794,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,SDS,42.029929345495226,0.01999999999406411,-90.55233787223388,1.45,0.033,1.1178124999999988,2.5376308879747547,0.009315885051121785,-0.006841582654462677,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
