blank,,workingstock,,workingstock1,,workingstock2,,workingstock_1in5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
725.0108032,0.0009374878136,725.0108032,0.1242720783,725.0108032,0.03110490553,725.0108032,0.1203306466,725.0108032,0.02409896813,
724.012146,-0.0007000133628,724.012146,0.1236458495,724.012146,0.03191760182,724.012146,0.1214442849,724.012146,0.02294117026,
723.0131836,-0.0002740976634,723.0131836,0.1249403208,723.0131836,0.03221460804,723.0131836,0.1218647957,723.0131836,0.02286634594,
722.013855,-0.0005964688607,722.013855,0.1238278225,722.013855,0.03047115169,722.013855,0.1214440465,722.013855,0.02144842967,
721.0142212,0.001007536543,721.0142212,0.1253713816,721.0142212,0.03270332515,721.0142212,0.1224587783,721.0142212,0.0228146445,
720.0142212,0.001021469827,720.0142212,0.1264599711,720.0142212,0.03309966996,720.0142212,0.1226436496,720.0142212,0.02367370948,
719.013916,0.0006435358082,719.013916,0.1259041429,719.013916,0.03320173174,719.013916,0.1228094101,719.013916,0.02361966856,
718.0131836,-0.0003691322927,718.0131836,0.1258026958,718.0131836,0.03218938038,718.0131836,0.1230304092,718.0131836,0.02294627391,
717.012207,-0.0008352612494,717.012207,0.1260959655,717.012207,0.03221594542,717.012207,0.1230921298,717.012207,0.02409623191,
716.0108643,-0.0001631544874,716.0108643,0.1270561814,716.0108643,0.03168475628,716.0108643,0.1231700853,716.0108643,0.02260868438,
715.0091553,0.001021833159,715.0091553,0.1281439364,715.0091553,0.03323892504,715.0091553,0.1240751743,715.0091553,0.02327918075,
714.0071411,0.0009183171787,714.0071411,0.128365308,714.0071411,0.03324764222,714.0071411,0.1247039288,714.0071411,0.02385454811,
713.0047607,-3.235625627E-5,713.0047607,0.130012393,713.0047607,0.03417174891,713.0047607,0.1260180771,713.0047607,0.02420465648,
712.0020752,-0.001033741515,712.0020752,0.1291806996,712.0020752,0.03342504799,712.0020752,0.125777632,712.0020752,0.02315897308,
710.9990234,6.446084444E-5,710.9990234,0.1289679706,710.9990234,0.0338537842,710.9990234,0.1263613105,710.9990234,0.02378593758,
709.9956665,-0.001116578351,709.9956665,0.1293364465,709.9956665,0.03252780437,709.9956665,0.1254002303,709.9956665,0.02320304327,
708.9919434,-0.0009504755726,708.9919434,0.1304094791,708.9919434,0.03354340792,708.9919434,0.1265840828,708.9919434,0.02395788021,
707.987915,0.0005004309933,707.987915,0.1315026879,707.987915,0.03422582895,707.987915,0.1278672516,707.987915,0.02507171594,
706.9835815,0.000613931159,706.9835815,0.1311973929,706.9835815,0.03485376015,706.9835815,0.128213197,706.9835815,0.0243789535,
705.9788208,0.0003750165633,705.9788208,0.1319873184,705.9788208,0.03439394012,705.9788208,0.1281369776,705.9788208,0.02365490235,
704.9738159,-0.0001104672629,704.9738159,0.1316156089,704.9738159,0.03473543748,704.9738159,0.1282427907,704.9738159,0.02458326146,
703.9684448,-0.0001808017405,703.9684448,0.1321683377,703.9684448,0.03474225104,703.9684448,0.12892735,703.9684448,0.02424215339,
702.9627075,-0.0003441469744,702.9627075,0.1325478703,702.9627075,0.03476863727,702.9627075,0.1292665452,702.9627075,0.0245370511,
701.956665,-6.942061736E-5,701.956665,0.1340347081,701.956665,0.03484668955,701.956665,0.1293379515,701.956665,0.02460131422,
700.9503174,-0.0002373612224,700.9503174,0.1333322823,700.9503174,0.03471821919,700.9503174,0.1303599626,700.9503174,0.0248056706,
699.9436035,0.0002674844,699.9436035,0.1342898458,699.9436035,0.03517214954,699.9436035,0.1309751719,699.9436035,0.0247420352,
698.9365845,0.0006185713573,698.9365845,0.134408325,698.9365845,0.03501647338,698.9365845,0.1309649497,698.9365845,0.02532708272,
697.9292603,0.0006617350737,697.9292603,0.134720549,697.9292603,0.03479693457,697.9292603,0.1323874444,697.9292603,0.02543845028,
697.0655518,0.0006401915452,697.0655518,0.1347028315,697.0655518,0.03488136083,697.0655518,0.1312184334,697.0655518,0.02521533333,
696.0575562,0.0006948949886,696.0575562,0.137585327,696.0575562,0.03531223908,696.0575562,0.1318640709,696.0575562,0.02524542809,
695.0492554,-0.0001531143935,695.0492554,0.1352241039,695.0492554,0.03481359407,695.0492554,0.1316803843,695.0492554,0.02493938617,
694.0406494,-6.383010623E-5,694.0406494,0.1369733959,694.0406494,0.03490719572,694.0406494,0.1325080693,694.0406494,0.02522147819,
693.0316772,2.552431397E-5,693.0316772,0.1363741606,693.0316772,0.03428907692,693.0316772,0.1330104619,693.0316772,0.02541331016,
692.0223999,0.0004945740802,692.0223999,0.1374688596,692.0223999,0.0351386331,692.0223999,0.1336840242,692.0223999,0.02538301051,
691.0128174,-2.070828123E-5,691.0128174,0.1373740882,691.0128174,0.03508070856,691.0128174,0.1343128085,691.0128174,0.02639789507,
