kpi,,bm3_target5uM,,bm3_target10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
651.0118408,-0.0001423494978,651.0118408,0.01445730589,651.0118408,0.01743178256,
649.9899292,-0.000536595122,649.9899292,0.01396347582,649.9899292,0.01761222444,
648.9677734,-0.000923922169,648.9677734,0.01488729194,648.9677734,0.01733670011,
647.9452515,0.001116316183,647.9452515,0.01538185216,647.9452515,0.01907812804,
647.0685425,0.0001923235541,647.0685425,0.01452705357,647.0685425,0.01791643724,
646.0454712,0.0007459231419,646.0454712,0.01506533939,646.0454712,0.01804594137,
645.0220947,0.000641721068,645.0220947,0.01528928243,645.0220947,0.01813556626,
643.9984131,-9.121257608E-5,643.9984131,0.01460128278,643.9984131,0.01788371615,
642.9744263,-0.0001463863591,642.9744263,0.01494791918,642.9744263,0.01749837212,
641.9501343,0.000451478787,641.9501343,0.014012211,641.9501343,0.01688269898,
641.0718994,0.001268502907,641.0718994,0.01570291631,641.0718994,0.01767069846,
640.0470581,-0.0002629218216,640.0470581,0.01470337342,640.0470581,0.01867769659,
639.0219116,0.0002539120032,639.0219116,0.01543187257,639.0219116,0.01928626187,
637.99646,-0.0002323938097,637.99646,0.0147968363,637.99646,0.01830466278,
636.9707031,-0.0004274775274,636.9707031,0.01441884972,636.9707031,0.01775970683,
635.9446411,-0.0001155913487,635.9446411,0.01518332772,635.9446411,0.01846280508,
635.0649414,0.0001740403532,635.0649414,0.01524699945,635.0649414,0.01868385822,
634.038269,0.0001946802222,634.038269,0.01614300534,634.038269,0.01959457248,
633.0113525,0.0005095275701,633.0113525,0.01561757643,633.0113525,0.01923216879,
631.9841919,0.0002059458202,631.9841919,0.01637938432,631.9841919,0.01915159822,
630.956665,-0.0008184157196,630.956665,0.0160376206,630.956665,0.01898165606,
629.928833,0.0008837654605,629.928833,0.01674132608,629.928833,0.02013752796,
629.0476074,-0.0004614568898,629.0476074,0.01550674066,629.0476074,0.0194592718,
628.0192871,-0.0002107641776,628.0192871,0.01547302026,628.0192871,0.01927370578,
626.9906006,3.494619705E-6,626.9906006,0.01576671749,626.9906006,0.02029777691,
625.9616699,0.0005576309632,625.9616699,0.01613137126,625.9616699,0.01931424439,
624.9324341,-0.0006323477719,624.9324341,0.01488855109,624.9324341,0.01881561987,
624.0499878,0.0002336060279,624.0499878,0.01577444933,624.0499878,0.01931800507,
623.0201416,0.000842135807,623.0201416,0.01671646722,623.0201416,0.01898682117,
621.9900513,-0.0002992422087,621.9900513,0.01645887829,621.9900513,0.01858404465,
620.9597168,-9.074672562E-5,620.9597168,0.01531239599,620.9597168,0.01838985644,
619.9290161,-0.000376684533,619.9290161,0.01556729339,619.9290161,0.01895277575,
619.0453491,-0.000103945611,619.0453491,0.01491140295,619.0453491,0.01998530515,
618.0141602,0.001009093365,618.0141602,0.01532365847,618.0141602,0.02033306658,
616.982605,0.0004054340243,616.982605,0.01630361378,616.982605,0.02007411048,
615.9508057,-0.0006148740067,615.9508057,0.01480749622,615.9508057,0.01822045632,
615.0661621,-0.001167336595,615.0661621,0.0148995351,615.0661621,0.01883108355,
614.0338745,0.0007005730877,614.0338745,0.01631423086,614.0338745,0.02005722187,
613.0012207,-0.0005174627295,613.0012207,0.01562404353,613.0012207,0.01966631599,
611.9683228,0.000371622591,611.9683228,0.01626585424,611.9683228,0.0203059949,
